state,raceyear,area,areanumber,redistricteddate,repvotes,repcandidate,repstatus,demvotes,demcandidate,demstatus,thirdparty,thirdvotes,thirdcandidate,thirdstatus,othervotes,pluralityvotes,pluralityparty,thirdvotestotalpercent,repvotesmajorpercent,demvotesmajorpercent,racenotes,rep_unopposed,dem_unopposed
Alabama,2010.0,District 4,4.0,2002-01-01,167714.0,"Aderholt, Robert",Incumbent,,,,,,,,2007.0,167714.0,R,0.0,100.0,0.0,,,
Alabama,2010.0,District 5,5.0,2002-01-01,131109.0,"Brooks, Mo",Challenger,95192.0,"Raby, Steve",Challenger,,,,,189.0,35917.0,R,0.0,57.94,42.06,,,
Alabama,2010.0,District 6,6.0,2002-01-01,205288.0,"Bachus, Spencer",Incumbent,,,,,,,,4076.0,205288.0,R,0.0,100.0,0.0,,,
Alabama,2010.0,District 7,7.0,2002-01-01,51890.0,"Chamberlain, Don",Challenger,136696.0,"Sewell, Terri A.",Challenger,,,,,138.0,84806.0,D,0.0,27.52,72.48,,,
Alabama,2008.0,District 1,1.0,2002-01-01,210660.0,"Bonner, Josiah Robbins Jr.",Incumbent,,,,,,,,3707.0,210660.0,R,0.0,100.0,0.0,,,
Alabama,2008.0,District 2,2.0,2002-01-01,142578.0,"Love, Jay",Challenger,144368.0,"Bright, Bobby",Challenger,,,,,448.0,1790.0,D,0.0,49.69,50.31,,,
Alabama,2008.0,District 3,3.0,2002-01-01,142708.0,"Rogers, Mike D.",Incumbent,121080.0,"Segall, Joshua",Challenger,,,,,332.0,21628.0,R,0.0,54.1,45.9,,,
Alabama,2008.0,District 4,4.0,2002-01-01,196741.0,"Aderholt, Robert",Incumbent,66077.0,"Sparks, Nicholas B.",Challenger,,,,,349.0,130664.0,R,0.0,74.86,25.14,,,
Alabama,2008.0,District 5,5.0,2002-01-01,147314.0,"Parker, Wayne",Challenger,158324.0,"Griffith, Parker",Challenger,,,,,1644.0,11010.0,D,0.0,48.2,51.8,,,
Alabama,2008.0,District 6,6.0,2002-01-01,280902.0,"Bachus, Spencer",Incumbent,,,,,,,,6335.0,280902.0,R,0.0,100.0,0.0,,,
Alabama,2008.0,District 7,7.0,2002-01-01,,,,228518.0,"Davis, Artur",Incumbent,,,,,3183.0,228518.0,D,0.0,0.0,100.0,,,
Alabama,2006.0,District 1,1.0,2002-01-01,112944.0,"Bonner, Josiah Robbins Jr.",Incumbent,52770.0,"Beckerle, Vivian Sheffield",Challenger,,,,,127.0,60174.0,R,0.0,68.16,31.84,,,
Alabama,2006.0,District 2,2.0,2002-01-01,124302.0,"Everett, Terry",Incumbent,54450.0,"James, Charles Dean",Challenger,,,,,167.0,69852.0,R,0.0,69.54,30.46,,,
Alabama,2006.0,District 3,3.0,2002-01-01,98257.0,"Rogers, Mike D.",Incumbent,63559.0,"Pierce, Greg A.",Challenger,,,,,3485.0,34698.0,R,0.0,60.72,39.28,,,
Alabama,2006.0,District 4,4.0,2002-01-01,128484.0,"Aderholt, Robert",Incumbent,54382.0,"Bobo, Barbara",Challenger,,,,,206.0,74102.0,R,0.0,70.26,29.74,,,
Alabama,2006.0,District 5,5.0,2002-01-01,,,,143015.0,"Cramer, Robert E.",Incumbent,,,,,2540.0,143015.0,D,0.0,0.0,100.0,,,
Alabama,2006.0,District 6,6.0,2002-01-01,163514.0,"Bachus, Spencer",Incumbent,,,,,,,,2786.0,163514.0,R,0.0,100.0,0.0,,,
Alabama,2006.0,District 7,7.0,2002-01-01,,,,133870.0,"Davis, Artur",Incumbent,,,,,1294.0,133870.0,D,0.0,0.0,100.0,,,
Alabama,2004.0,District 1,1.0,2002-01-01,161067.0,"Bonner, Josiah Robbins Jr.",Incumbent,93938.0,"Belk, Judy Mccain",Challenger,Write-in,159.0,"Other/Unknown, NULL",Challenger,,67129.0,R,0.06,63.16,36.84,,,
Alabama,2004.0,District 2,2.0,2002-01-01,177086.0,"Everett, Terry",Incumbent,70562.0,"James, Charles Dean",Challenger,Write-in,299.0,"Other/Unknown, NULL",Challenger,,106524.0,R,0.12,71.51,28.49,,,
Alabama,2004.0,District 3,3.0,2002-01-01,150411.0,"Rogers, Mike D.",Incumbent,95240.0,"Fuller, William",Challenger,Write-in,133.0,"Other/Unknown, NULL",Challenger,,55171.0,R,0.05,61.23,38.77,,,
Alabama,2004.0,District 4,4.0,2002-01-01,191110.0,"Aderholt, Robert",Incumbent,64278.0,"Cole, Carl A.",Challenger,Write-in,336.0,"Other/Unknown, NULL",Challenger,,126832.0,R,0.13,74.83,25.17,,,
Alabama,2004.0,District 5,5.0,2002-01-01,74145.0,"Wallace, Gerald C.",Challenger,200999.0,"Cramer, Robert E.",Incumbent,Write-in,315.0,"Other/Unknown, NULL",Challenger,,126854.0,D,0.11,26.95,73.05,,,
Alabama,2004.0,District 6,6.0,2002-01-01,264819.0,"Bachus, Spencer",Incumbent,,,,Write-in,3224.0,"Other/Unknown, NULL",Challenger,,261595.0,R,1.2,100.0,0.0,,,
Alabama,2004.0,District 7,7.0,2002-01-01,61019.0,"Cameron, Steve F.",Challenger,183408.0,"Davis, Artur",Incumbent,American Labor,211.0,"Other/Unknown, NULL",Challenger,,122389.0,D,0.09,24.96,75.04,,,
Alabama,2002.0,District 1,1.0,2002-01-01,108102.0,"Bonner, Josiah Robbins Jr.",Challenger,67507.0,"Belk, Judy Mccain",Challenger,,,,,3078.0,40595.0,R,0.0,61.56,38.44,,,
Alabama,2002.0,District 2,2.0,2002-01-01,129233.0,"Everett, Terry",Incumbent,55495.0,"Woods, Charles",Challenger,,,,,3237.0,73738.0,R,0.0,69.96,30.04,,,
Alabama,2002.0,District 3,3.0,2002-01-01,91169.0,"Rogers, Mike D.",Challenger,87351.0,"Turnham, Joe",Challenger,,,,,2703.0,3818.0,R,0.0,51.07,48.93,,,
Alabama,2002.0,District 4,4.0,2002-01-01,139705.0,"Aderholt, Robert",Incumbent,,,,,,,,21396.0,139705.0,R,0.0,100.0,0.0,,,
Alabama,2002.0,District 5,5.0,2002-01-01,48226.0,"Engel, Stephen P.",Challenger,143029.0,"Cramer, Robert E.",Challenger,,,,,3916.0,94803.0,D,0.0,25.22,74.78,,,
Alabama,2002.0,District 6,6.0,2002-01-01,178171.0,"Bachus, Spencer",Incumbent,,,,,,,,20175.0,178171.0,R,0.0,100.0,0.0,,,
Alabama,2002.0,District 7,7.0,2002-01-01,,,,153735.0,"Davis, Artur",Challenger,,,,,12574.0,153735.0,D,0.0,0.0,100.0,,,
Alabama,2000.0,District 1,1.0,1992-01-01,151188.0,"Callahan, H. L.",Incumbent,,,,,,,,14481.0,151188.0,R,0.0,100.0,0.0,,,
Alabama,2000.0,District 2,2.0,1992-01-01,151830.0,"Everett, Terry",Incumbent,64958.0,"Woods, Charles",Challenger,,,,,5848.0,86872.0,R,0.0,70.04,29.96,,,
Alabama,2000.0,District 3,3.0,1992-01-01,147317.0,"Riley, Robert",Incumbent,,,,,,,,22202.0,147317.0,R,0.0,100.0,0.0,,,
Alabama,2000.0,District 4,4.0,1992-01-01,140009.0,"Aderholt, Robert",Incumbent,86400.0,"Folsom, Marsha",Challenger,,,,,4697.0,53609.0,R,0.0,61.84,38.16,,,
Alabama,2000.0,District 5,5.0,1992-01-01,,,,186059.0,"Cramer, Robert E.",Incumbent,,,,,23455.0,186059.0,D,0.0,0.0,100.0,,,
Alabama,2000.0,District 6,6.0,1992-01-01,212751.0,"Bachus, Spencer",Incumbent,,,,,,,,29166.0,212751.0,R,0.0,100.0,0.0,,,
Alabama,2000.0,District 7,7.0,1992-01-01,46134.0,"Martin, Ed",Challenger,148243.0,"Hilliard, Earl F.",Incumbent,,,,,4256.0,102109.0,D,0.0,23.73,76.27,,,
Alabama,1998.0,District 1,1.0,1992-01-01,112872.0,"Callahan, H. L.",Incumbent,,,,,,,,692.0,112872.0,R,0.0,100.0,0.0,,,
Alabama,1998.0,District 2,2.0,1992-01-01,131428.0,"Everett, Terry",Incumbent,58136.0,"Fondren, Joe",Challenger,,,,,105.0,73292.0,R,0.0,69.33,30.67,,,
Alabama,1998.0,District 3,3.0,1992-01-01,101731.0,"Riley, Robert",Incumbent,73357.0,"Turnham, Joe",Challenger,,,,,129.0,28374.0,R,0.0,58.1,41.9,,,
Alabama,1998.0,District 4,4.0,1992-01-01,106297.0,"Aderholt, Robert",Incumbent,82065.0,"Bevill, Donald",Challenger,,,,,114.0,24232.0,R,0.0,56.43,43.57,,,
Alabama,1998.0,District 5,5.0,1992-01-01,58536.0,"Aust, Gil",Challenger,134819.0,"Cramer, Robert E.",Incumbent,,,,,135.0,76283.0,D,0.0,30.27,69.73,,,
Alabama,1998.0,District 6,6.0,1992-01-01,154761.0,"Bachus, Spencer",Incumbent,60657.0,"Smalley, Donna Wesson",Challenger,,,,,164.0,94104.0,R,0.0,71.84,28.16,,,
Alabama,1998.0,District 7,7.0,1992-01-01,,,,136431.0,"Hilliard, Earl F.",Incumbent,,,,,2750.0,136431.0,D,0.0,0.0,100.0,,,
Alabama,1996.0,District 1,1.0,1992-01-01,132206.0,"Callahan, H. L.",Incumbent,69470.0,"Womack, Don",Challenger,,,,,3741.0,62736.0,R,0.0,65.55,34.45,,,
Alabama,1996.0,District 2,2.0,1992-01-01,132563.0,"Everett, Terry",Incumbent,74317.0,"Gaines, Bob E.",Challenger,,,,,2913.0,58246.0,R,0.0,64.08,35.92,,,
Alabama,1996.0,District 3,3.0,1992-01-01,98353.0,"Riley, Robert",Challenger,92325.0,"Little, T. D.",Challenger,,,,,4369.0,6028.0,R,0.0,51.58,48.42,,,
Alabama,1996.0,District 4,4.0,1992-01-01,102741.0,"Aderholt, Robert",Challenger,99250.0,"Wilson, Robert T.",Challenger,,,,,3926.0,3491.0,R,0.0,50.86,49.14,,,
Alabama,1996.0,District 5,5.0,1992-01-01,86727.0,"Parker, Wayne",Challenger,114442.0,"Cramer, Robert E.",Incumbent,,,,,4378.0,27715.0,D,0.0,43.11,56.89,,,
Alabama,1996.0,District 6,6.0,1992-01-01,180781.0,"Bachus, Spencer",Incumbent,69592.0,"Bates, Mary Lynn",Challenger,,,,,4486.0,111189.0,R,0.0,72.2,27.8,,,
Alabama,1996.0,District 7,7.0,1992-01-01,52142.0,"Powell, Joe",Challenger,136651.0,"Hilliard, Earl F.",Incumbent,,,,,3320.0,84509.0,D,0.0,27.62,72.38,,,
Alabama,1994.0,District 1,1.0,1992-01-01,103431.0,"Callahan, H. L.",Incumbent,50227.0,"Womack, Don",Challenger,,,,,109.0,53204.0,R,0.0,67.31,32.69,,,
Alabama,1994.0,District 2,2.0,1992-01-01,124465.0,"Everett, Terry",Incumbent,44694.0,"Dowling, Brian",Challenger,,,,,54.0,79771.0,R,0.0,73.58,26.42,,,
Alabama,1994.0,District 3,3.0,1992-01-01,53757.0,"Hand, Ben",Challenger,93924.0,"Browder, Glen",Incumbent,,,,,64.0,40167.0,D,0.0,36.4,63.6,,,
Alabama,1994.0,District 4,4.0,1992-01-01,,,,119436.0,"Bevill, Tom",Incumbent,,,,,1826.0,119436.0,D,0.0,0.0,100.0,,,
Alabama,1994.0,District 5,5.0,1992-01-01,86923.0,"Parker, Wayne",Challenger,88693.0,"Cramer, Robert E.",Incumbent,,,,,77.0,1770.0,D,0.0,49.5,50.5,,,
Alabama,1994.0,District 6,6.0,1992-01-01,155047.0,"Bachus, Spencer",Incumbent,41030.0,"Fortenberry, Larry",Challenger,,,,,145.0,114017.0,R,0.0,79.07,20.93,,,
Alabama,1994.0,District 7,7.0,1992-01-01,34814.0,"Middleton, Alfred J.",Challenger,116150.0,"Hilliard, Earl F.",Incumbent,,,,,153.0,81336.0,D,0.0,23.06,76.94,,,
Alabama,1992.0,District 1,1.0,1992-01-01,128874.0,"Callahan, H. L.",Incumbent,78742.0,"Brewer, Willliam A.",Challenger,,,,,6588.0,50132.0,R,0.0,62.07,37.93,,,
Alabama,1992.0,District 2,2.0,1992-01-01,112906.0,"Everett, Terry",Challenger,109335.0,"Wallace, George C.",Challenger,,,,,5919.0,3571.0,R,0.0,50.8,49.2,,,
Alabama,1992.0,District 3,3.0,1992-01-01,73800.0,"Sledge, Don",Challenger,119175.0,"Browder, Glen",Incumbent,,,,,4629.0,45375.0,D,0.0,38.24,61.76,,,
Alabama,1992.0,District 4,4.0,1992-01-01,66934.0,"Strickland, Mickey",Challenger,157907.0,"Bevill, Tom",Incumbent,,,,,5682.0,90973.0,D,0.0,29.77,70.23,,,
Alabama,1992.0,District 5,5.0,1992-01-01,77951.0,"Smith, Terry",Challenger,160060.0,"Cramer, Robert E.",Incumbent,,,,,6122.0,82109.0,D,0.0,32.75,67.25,,,
Alabama,1992.0,District 6,6.0,1992-01-01,146599.0,"Bachus, Spencer",Challenger,126062.0,"Erdreich, Ben",Incumbent,,,,,7478.0,20537.0,R,0.0,53.77,46.23,,,
Alabama,1992.0,District 7,7.0,1992-01-01,36086.0,"Jones, Kervin",Challenger,144320.0,"Hilliard, Earl F.",Challenger,,,,,27367.0,108234.0,D,0.0,20.0,80.0,,,
Alabama,1990.0,District 1,1.0,1982-01-01,82185.0,"Callahan, H. L.",Incumbent,,,,,,,,345.0,82185.0,R,0.0,100.0,0.0,,,
Alabama,1990.0,District 2,2.0,1982-01-01,87649.0,"Dickinson, William Louis",Incumbent,83243.0,"Baggiano, Faye",Challenger,,,,,19.0,4406.0,R,0.0,51.29,48.71,,,
Alabama,1990.0,District 3,3.0,1982-01-01,36317.0,"Sledge, Don",Challenger,101923.0,"Browder, Glen",Challenger,,,,,2.0,65606.0,D,0.0,26.27,73.73,,,
Alabama,1990.0,District 4,4.0,1982-01-01,,,,129872.0,"Bevill, Tom",Incumbent,,,,,340.0,129872.0,D,0.0,0.0,100.0,,,
Alabama,1990.0,District 5,5.0,1982-01-01,55326.0,"McDonald, Albert",Challenger,113047.0,"Cramer, Robert E.",Challenger,,,,,10.0,57721.0,D,0.0,32.86,67.14,,,
Alabama,1990.0,District 6,6.0,1982-01-01,,,,134412.0,"Erdreich, Ben",Incumbent,,,,,11329.0,134412.0,D,0.0,0.0,100.0,,,
Alabama,1990.0,District 7,7.0,1982-01-01,53258.0,"Barker, Michael D.",Challenger,127490.0,"Harris, Claude",Incumbent,,,,,96.0,74232.0,D,0.0,29.47,70.53,,,
Alabama,1988.0,District 1,1.0,1982-01-01,115173.0,"Callahan, H. L.",Incumbent,77670.0,"Tyson, John M.",Challenger,,,,,1520.0,37503.0,R,0.0,59.72,40.28,,,
Alabama,1988.0,District 2,2.0,1982-01-01,120408.0,"Dickinson, William Louis",Incumbent,,,,,,,,7453.0,120408.0,R,0.0,100.0,0.0,,,
Alabama,1988.0,District 3,3.0,1982-01-01,,,,117514.0,"Nichols, Bill",Incumbent,,,,,4796.0,117514.0,D,0.0,0.0,100.0,,,
Alabama,1988.0,District 4,4.0,1982-01-01,,,,131880.0,"Bevill, Tom",Incumbent,,,,,5269.0,131880.0,D,0.0,0.0,100.0,,,
Alabama,1988.0,District 5,5.0,1982-01-01,64491.0,"McDonald, Stan",Challenger,120142.0,"Flippo, Ronnie G.",Incumbent,,,,,1990.0,55651.0,D,0.0,34.93,65.07,,,
Alabama,1988.0,District 6,6.0,1982-01-01,68788.0,"Caddis, Charles",Challenger,138920.0,"Erdreich, Ben",Incumbent,,,,,1318.0,70132.0,D,0.0,33.12,66.88,,,
Alabama,1988.0,District 7,7.0,1982-01-01,63372.0,"Bacon, James E.",Challenger,136074.0,"Harris, Claude",Incumbent,,,,,1520.0,72702.0,D,0.0,31.77,68.23,,,
Alabama,1986.0,District 1,1.0,1982-01-01,96469.0,"Callahan, H. L.",Incumbent,,,,,,,,86.0,96469.0,R,0.0,100.0,0.0,,,
Alabama,1986.0,District 2,2.0,1982-01-01,115302.0,"Dickinson, William Louis",Incumbent,57568.0,"Stone, Mercer",Challenger,,,,,17.0,57734.0,R,0.0,66.7,33.3,,,
Alabama,1986.0,District 3,3.0,1982-01-01,27769.0,"Guerin, Whit",Challenger,115127.0,"Nichols, Bill",Incumbent,,,,,2.0,87358.0,D,0.0,19.43,80.57,,,
Alabama,1986.0,District 4,4.0,1982-01-01,38588.0,"DeShazo, Al",Challenger,132881.0,"Bevill, Tom",Incumbent,,,,,3.0,94293.0,D,0.0,22.5,77.5,,,
Alabama,1986.0,District 5,5.0,1982-01-01,33528.0,"McCarley, H. R.",Challenger,125406.0,"Flippo, Ronnie G.",Incumbent,,,,,1.0,91878.0,D,0.0,21.1,78.9,,,
Alabama,1986.0,District 6,6.0,1982-01-01,51924.0,"Williams, L. Morgan",Challenger,139608.0,"Erdreich, Ben",Incumbent,,,,,465.0,87684.0,D,0.0,27.11,72.89,,,
Alabama,1986.0,District 7,7.0,1982-01-01,72777.0,"McFarland, Bill",Challenger,108126.0,"Harris, Claude",Challenger,,,,,7.0,35349.0,D,0.0,40.23,59.77,,,
Alabama,1984.0,District 1,1.0,1982-01-01,102479.0,"Callahan, H. L.",Challenger,98455.0,"McRight, Frank",Challenger,,,,,,4024.0,R,0.0,51.0,49.0,,,
Alabama,1984.0,District 2,2.0,1982-01-01,118153.0,"Dickinson, William Louis",Incumbent,75506.0,"Lee, Larry",Challenger,,,,,2156.0,42647.0,R,0.0,61.01,38.99,,,
Alabama,1984.0,District 3,3.0,1982-01-01,,,,120357.0,"Nichols, Bill",Incumbent,,,,,4745.0,120357.0,D,0.0,0.0,100.0,,,
Alabama,1984.0,District 4,4.0,1982-01-01,,,,120106.0,"Bevill, Tom",Incumbent,,,,,,120106.0,D,0.0,0.0,100.0,,,
Alabama,1984.0,District 5,5.0,1982-01-01,,,,140542.0,"Flippo, Ronnie G.",Incumbent,,,,,6033.0,140542.0,D,0.0,0.0,100.0,,,
Alabama,1984.0,District 6,6.0,1982-01-01,87550.0,"Waggoner, J. T.",Challenger,130973.0,"Erdreich, Ben",Incumbent,,,,,1187.0,43423.0,D,0.0,40.06,59.94,,,
Alabama,1984.0,District 7,7.0,1982-01-01,,,,135834.0,"Shelby, Richard C.",Incumbent,,,,,4498.0,135834.0,D,0.0,0.0,100.0,,,
Alabama,1982.0,District 1,1.0,1982-01-01,87901.0,"Edwards, Jack",Incumbent,54315.0,"Gudac, Steve",Challenger,,,,,1812.0,33586.0,R,0.0,61.81,38.19,,,
Alabama,1982.0,District 2,2.0,1982-01-01,83290.0,"Dickinson, William Louis",Incumbent,81904.0,"Camp, Billy Joe",Challenger,,,,,,1386.0,R,0.0,50.42,49.58,,,
Alabama,1982.0,District 3,3.0,1982-01-01,,,,100864.0,"Nichols, Bill",Incumbent,,,,,3920.0,100864.0,D,0.0,0.0,100.0,,,
Alabama,1982.0,District 4,4.0,1982-01-01,,,,118595.0,"Bevill, Tom",Incumbent,,,,,12.0,118595.0,D,0.0,0.0,100.0,,,
Alabama,1982.0,District 5,5.0,1982-01-01,24593.0,"Yambrek, Leopold",Challenger,108807.0,"Flippo, Ronnie G.",Incumbent,,,,,1480.0,84214.0,D,0.0,18.44,81.56,,,
Alabama,1982.0,District 6,6.0,1982-01-01,76726.0,"Smith, Albert Lee Jr.",Incumbent,88029.0,"Erdreich, Ben",Challenger,,,,,632.0,11303.0,D,0.0,46.57,53.43,,,
Alabama,1982.0,District 7,7.0,1982-01-01,,,,124070.0,"Shelby, Richard C.",Incumbent,,,,,4069.0,124070.0,D,0.0,0.0,100.0,,,
Alabama,1980.0,District 1,1.0,1972-01-01,111089.0,"Edwards, Jack",Incumbent,,,,,,,,6132.0,111089.0,R,0.0,100.0,0.0,,,
Alabama,1980.0,District 2,2.0,1972-01-01,104796.0,"Dickinson, William Louis",Incumbent,63447.0,"Wyatt, Cecil",Challenger,,,,,4719.0,41349.0,R,0.0,62.29,37.71,,,
Alabama,1980.0,District 3,3.0,1972-01-01,,,,107654.0,"Nichols, Bill",Incumbent,,,,,,107654.0,D,0.0,0.0,100.0,,,
Alabama,1980.0,District 4,4.0,1972-01-01,,,,129365.0,"Bevill, Tom",Incumbent,,,,,2721.0,129365.0,D,0.0,0.0,100.0,,,
Alabama,1980.0,District 5,5.0,1972-01-01,,,,117626.0,"Flippo, Ronnie G.",Incumbent,,,,,7341.0,117626.0,D,0.0,0.0,100.0,,,
Alabama,1980.0,District 6,6.0,1972-01-01,95019.0,"Smith, Albert Lee Jr.",Challenger,81536.0,"Clifford, W. B.",Challenger,,,,,5427.0,13483.0,R,0.0,53.82,46.18,,,
Alabama,1980.0,District 7,7.0,1972-01-01,43320.0,"Bacon, Jamese",Challenger,122505.0,"Shelby, Richard C.",Incumbent,,,,,2979.0,79185.0,D,0.0,26.12,73.88,,,
Alabama,1978.0,District 1,1.0,1972-01-01,71711.0,"Edwards, Jack",Incumbent,40450.0,"Noonan, L. W.",Challenger,,,,,,31261.0,R,0.0,63.94,36.06,,,
Alabama,1978.0,District 2,2.0,1972-01-01,57924.0,"Dickinson, William Louis",Incumbent,49341.0,"Mitchell, Wendell",Challenger,,,,,,8583.0,R,0.0,54.0,46.0,,,
Alabama,1978.0,District 3,3.0,1972-01-01,,,,74895.0,"Nichols, Bill",Incumbent,,,,,2.0,74895.0,D,0.0,0.0,100.0,,,
Alabama,1978.0,District 4,4.0,1972-01-01,,,,87380.0,"Bevill, Tom",Incumbent,,,,,1.0,87380.0,D,0.0,0.0,100.0,,,
Alabama,1978.0,District 5,5.0,1972-01-01,,,,68985.0,"Flippo, Ronnie G.",Incumbent,,,,,2251.0,68985.0,D,0.0,0.0,100.0,,,
Alabama,1978.0,District 6,6.0,1972-01-01,65700.0,"Buchanan, John H. Jr.",Incumbent,40771.0,"Hawkins, Don",Challenger,,,,,,24929.0,R,0.0,61.71,38.29,,,
Alabama,1978.0,District 7,7.0,1972-01-01,1841.0,"Scruggs, James L.",Challenger,77742.0,"Shelby, Richard C.",Challenger,,,,,3285.0,75901.0,D,0.0,2.31,97.69,,,
Alabama,1976.0,District 1,1.0,1972-01-01,98257.0,"Edwards, Jack",Incumbent,58906.0,"Davenport, Bill",Challenger,,,,,7.0,39351.0,R,0.0,62.52,37.48,,,
Alabama,1976.0,District 2,2.0,1972-01-01,90069.0,"Dickinson, William Louis",Incumbent,66288.0,"Keahey, J. Carole",Challenger,,,,,5.0,23781.0,R,0.0,57.6,42.4,,,
Alabama,1976.0,District 3,3.0,1972-01-01,,,,106935.0,"Nichols, Bill",Incumbent,,,,,1113.0,106935.0,D,0.0,0.0,100.0,,,
