,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,percent_bachelor_or_above
41,"GREGORY, JAMES CHRISTOPHER",AR,1.0,DEM,2010,13.7
42,"SMITH, PRINCELLA D",AR,1.0,REP,2010,13.7
43,"GREEN, TERRY GLENN",AR,1.0,DEM,2010,13.7
44,"HIGGINS, MICKEY VERNON",AR,1.0,UNK,2010,13.7
45,"COOK, DAVID RAY",AR,1.0,DEM,2010,13.7
46,"BRYLES, STEVE MARK",AR,1.0,DEM,2010,13.7
47,"PONDER, BEN",AR,1.0,DEM,2010,13.7
48,"CRAWFORD, ERIC ALAN RICK",AR,1.0,REP,2010,13.7
49,"CAUSEY, CHAD",AR,1.0,DEM,2010,13.7
50,"WOOLRIDGE, TYMOTHE (TIM) LYNN",AR,1.0,DEM,2010,13.7
51,"MEEKS, DAVID MARK EMERSON",AR,2.0,REP,2010,25.8
52,"KENNEDY, LEWIS",AR,2.0,GRE,2010,25.8
53,"LEVI, LANCE",AR,2.0,IND,2010,25.8
54,"SUITS, DANIAL",AR,2.0,UNK,2010,25.8
55,"ELLIOTT, JOYCE ANN",AR,2.0,DEM,2010,25.8
56,"WALLACE, SCOTT",AR,2.0,REP,2010,25.8
57,"ADAMS, JOHN",AR,2.0,DEM,2010,25.8
58,"KENNEDY, PATRICK",AR,2.0,DEM,2010,25.8
59,"GRIFFIN, JOHN TIMOTHY",AR,2.0,REP,2010,25.8
60,"WILLS, ROBERT DALE JR",AR,2.0,DEM,2010,25.8
61,"BOLING, DAVID ALAN",AR,2.0,DEM,2010,25.8
62,"MATAYO, DOUG",AR,3.0,REP,2010,21.3
63,"SKOCH, BERNARD KURT 'BERNIE'",AR,3.0,REP,2010,21.3
64,"MADDOX, KURT E",AR,3.0,REP,2010,21.3
65,"BLEDSOE, CECILE H",AR,3.0,REP,2010,21.3
66,"WHITAKER, DAVID JEFFREY",AR,3.0,DEM,2010,21.3
67,"WOMACK, STEVE",AR,3.0,REP,2010,21.3
68,"MOORE, MIKE C",AR,3.0,REP,2010,21.3
69,"LOWRY, STEVE MR.",AR,3.0,REP,2010,21.3
70,"DELAY, ROBERT GUNNER",AR,3.0,REP,2010,21.3
71,"DRAKE, JOSHUA",AR,4.0,GRE,2010,15.0
72,"ROSS, MICHAEL AVERY",AR,4.0,DEM,2010,15.0
73,"GALLAS, GLENN EDWARD",AR,4.0,REP,2010,15.0
74,"RANKIN, BETH ANNE",AR,4.0,REP,2010,15.0
75,"TUIKA, TUIKA",AS,0.0,NNE,2010,
76,"AUMUA, AMATA",AS,0.0,REP,2010,
77,"FALEOMAVAEGA, ENI",AS,0.0,DEM,2010,
78,"LANCASTER, ROSIE FUALA'AU TAGO",AS,0.0,IND,2010,
79,"PATTI, NICOLE",AZ,1.0,LIB,2010,19.2
80,"TOBIN, ANDREW (ANDY)",AZ,1.0,REP,2010,19.2
81,"JARACZEWSKI, JOE",AZ,1.0,REP,2010,19.2
82,"JENSEN, JON RICHARD",AZ,1.0,REP,2010,19.2
83,"GRESSLEY, FORREST DAYL",AZ,1.0,REP,2010,19.2
84,"BEAUCHAMP, BRADLEY DON",AZ,1.0,REP,2010,19.2
85,"GOSAR, PAUL ANTHONY ANTHONY",AZ,1.0,REP,2010,19.2
86,"BOWERS, RUSSELL WESLEY",AZ,1.0,REP,2010,19.2
87,"HAY, SYDNEY",AZ,1.0,REP,2010,19.2
88,"ZALESKI, THOMAS J",AZ,1.0,REP,2010,19.2
89,"KIRKPATRICK, ANN",AZ,1.0,DEM,2010,19.2
90,"MEHTA, STEVE",AZ,1.0,REP,2010,19.2
91,"BLACK, CHARLES ROLAND",AZ,2.0,REP,2010,21.9
92,"SCHALLENBERGER, STEVEN CRAIG",AZ,2.0,DEM,2010,21.9
93,"GAMMILL, POWELL",AZ,2.0,LIB,2010,21.9
94,"CRUM, WILLIAM STEPHEN",AZ,2.0,GRE,2010,21.9
95,"THRASHER, JOHN ARMIN",AZ,2.0,DEM,2010,21.9
96,"FRANKS, TRENT",AZ,2.0,REP,2010,21.9
97,"ADAIR, CLAY",AZ,3.0,LIB,2010,33.9
98,"SCOTT, BRIAN ALAN",AZ,3.0,IND,2010,33.9
99,"WARING, JAMES F",AZ,3.0,REP,2010,33.9
100,"WINKLER, EDWIN ROBERT MR",AZ,3.0,REP,2010,33.9
101,"CLARK, LEONARD",AZ,3.0,GRE,2010,33.9
102,"BAKER, SCOTT",AZ,3.0,REP,2010,33.9
103,"SHOEN, MICHAEL LEONARD",AZ,3.0,LIB,2010,33.9
104,"MOAK, STEVEN CARL",AZ,3.0,REP,2010,33.9
105,"HULL, LEANN",AZ,3.0,REP,2010,33.9
106,"CHARLES, ROBERT LINCOLN",AZ,3.0,REP,2010,33.9
107,"GORMAN, PAMELA DIANE",AZ,3.0,REP,2010,33.9
108,"PARKER, VERNON",AZ,3.0,REP,2010,33.9
109,"CRUMP, SAMUEL TURRENTINE SR",AZ,3.0,REP,2010,33.9
110,"QUAYLE, BEN",AZ,3.0,REP,2010,33.9
111,"HULBURD, JON",AZ,3.0,DEM,2010,33.9
112,"BRANCH, ROBERT ALLEN",AZ,3.0,REP,2010,33.9
113,"MORRIS, PAULINA VASQUEZ",AZ,3.0,REP,2010,33.9
114,"HILL, BRIAN",AZ,4.0,IND,2010,13.6
115,"DEWITT, REBECCA",AZ,4.0,GRE,2010,13.6
116,"PASTOR, ED L",AZ,4.0,DEM,2010,13.6
117,"CONTRERAS, JANET L",AZ,4.0,REP,2010,13.6
118,"PENALOSA, JOE",AZ,4.0,REP,2010,13.6
119,"SPINKS, MARK VINCENT",AZ,5.0,REP,2010,43.6
120,"SMITH, SUSAN BITTER",AZ,5.0,REP,2010,43.6
121,"GENTRY, LEE ADAM",AZ,5.0,REP,2010,43.6
122,"HILL, JONATHON RYAN",AZ,5.0,REP,2010,43.6
123,"COONS, NICK",AZ,5.0,LIB,2010,43.6
124,"SCHWEIKERT, DAVID",AZ,5.0,REP,2010,43.6
125,"BLACKMAN, RYAN",AZ,5.0,GRE,2010,43.6
126,"WNUCK, ERIC",AZ,5.0,REP,2010,43.6
127,"WARD, JIM",AZ,5.0,REP,2010,43.6
128,"SALVINO, CHRIS",AZ,5.0,REP,2010,43.6
129,"MITCHELL, HARRY E.",AZ,5.0,DEM,2010,43.6
130,"TAPP, DARELL",AZ,6.0,LIB,2010,28.5
131,"BERGREN, SCOTT",AZ,6.0,REP,2010,28.5
132,"SCHNEIDER, REBECCA",AZ,6.0,DEM,2010,28.5
133,"FLAKE, JEFF MR.",AZ,6.0,REP,2010,28.5
134,"GRAYSON, RICHARD",AZ,6.0,GRE,2010,28.5
135,"SMITH, JEFFREY W",AZ,6.0,REP,2010,28.5
136,"KELSEY, EASTON CLINT",AZ,6.0,REP,2010,28.5
137,"WILSON, ROBERT",AZ,7.0,REP,2010,15.3
138,"MCCLUNG, RUTH CRAWFORD",AZ,7.0,REP,2010,15.3
139,"IBARRA, ANDREW",AZ,7.0,LIB,2010,15.3
140,"KEANE, GEORGE",AZ,7.0,LIB,2010,15.3
141,"MEYER, HARLEY DEAN",AZ,7.0,IND,2010,15.3
142,"FLOWERS, CHRISTOPHER JOHN",AZ,7.0,REP,2010,15.3
143,"SWEENEY, JOSEPH DUDLEY",AZ,7.0,REP,2010,15.3
144,"MYERS, TERRY LON",AZ,7.0,REP,2010,15.3
145,"GRIJALVA, RAUL M",AZ,7.0,DEM,2010,15.3
146,"CARLSON, THOMAS A JR",AZ,8.0,REP,2010,34.1
147,"GOSS, VINCENT ANDREW",AZ,8.0,REP,2010,34.1
148,"MILLER, BRIAN ALLAN",AZ,8.0,REP,2010,34.1
149,"QUICK, JAY DUDLEY",AZ,8.0,REP,2010,34.1
150,"GIFFORDS, GABRIELLE",AZ,8.0,DEM,2010,34.1
151,"STOLTZ, STEVEN",AZ,8.0,LIB,2010,34.1
152,"PATON, JONATHAN",AZ,8.0,REP,2010,34.1
153,"KELLY, JESSE",AZ,8.0,REP,2010,34.1
154,"WOLMAN, CAROL STONE",CA,1.0,GRE,2010,28.4
155,"FRANCK, RANDY",CA,1.0,REP,2010,28.4
156,"RODRIGUES, MIKE",CA,1.0,LIB,2010,28.4
157,"HANKS, LOREN L",CA,1.0,REP,2010,28.4
158,"THOMPSON, MIKE MR.",CA,1.0,DEM,2010,28.4
159,"JENSEN, MARK A.",CA,2.0,W,2010,20.4
160,"REED, JAMES E",CA,2.0,DEM,2010,20.4
161,"STIGLICH, PETER VINCENT",CA,2.0,REP,2010,20.4
162,"HERGER, WALLY",CA,2.0,REP,2010,20.4
163,"DURSTON, BILL",CA,3.0,DEM,2010,29.0
164,"SLATON, BILL",CA,3.0,DEM,2010,29.0
165,"DAVIS, GARY",CA,3.0,DEM,2010,29.0
166,"LEIDECKER, JERRY L",CA,3.0,AIP,2010,29.0
167,"ROSKEY, MICHAEL",CA,3.0,PAF,2010,29.0
168,"LUNGREN, DANIEL E.",CA,3.0,REP,2010,29.0
169,"FAVIS, STEVE DONALD",CA,3.0,IND,2010,29.0
170,"BERA, AMERISH",CA,3.0,DEM,2010,29.0
171,"BROWN, CHARLES",CA,4.0,DEM,2010,29.6
172,"BABICH, MICHAEL",CA,4.0,REP,2010,29.6
173,"EMERY, BENJAMIN 'BEN'",CA,4.0,GRE,2010,29.6
174,"CURTIS, CLINT",CA,4.0,DEM,2010,29.6
175,"MCCLINTOCK, THOMAS",CA,4.0,REP,2010,29.6
176,"LACY , TONY",CA,5.0,W,2010,25.4
177,"FRINK, GERALD ALLEN",CA,5.0,PAF,2010,25.4
178,"MATSUI, DORIS",CA,5.0,DEM,2010,25.4
179,"SMITH, PAUL",CA,5.0,REP,2010,25.4
180,"SMITT, ERIK",CA,5.0,REP,2010,25.4
181,"ROMANOWSKY, PETER CHRISTIAN",CA,6.0,REP,2010,40.5
182,"SMOLLEN, JOEL",CA,6.0,LIB,2010,40.5
183,"RUYLE, EUGENE E",CA,6.0,PAF,2010,40.5
184,"ROBERTS, DANIEL W",CA,6.0,AIP,2010,40.5
185,"HALLIWELL, MIKE",CA,6.0,DEM,2010,40.5
186,"WOOLSEY, LYNN C.",CA,6.0,DEM,2010,40.5
187,"JUDD, JAMES O JR.",CA,6.0,REP,2010,40.5
188,"PETERSEN, ROGER ALLEN",CA,7.0,REP,2010,25.5
189,"FITZGERALD, JOHN",CA,7.0,DEM,2010,25.5
190,"RAY, EUGENE",CA,7.0,REP,2010,25.5
191,"MILLER, GEORGE",CA,7.0,DEM,2010,25.5
192,"TUBBS, RICHARD STEPHEN II",CA,7.0,REP,2010,25.5
193,"FULLER-KENDALL, VIRGINIA",CA,7.0,REP,2010,25.5
194,"SHIELDS, SUMMER J",CA,8.0,W,2010,50.1
195,"LA RIVA, GLORIA E",CA,8.0,PAF,2010,50.1
196,"BERG, PHILIP ZIMT",CA,8.0,LIB,2010,50.1
197,"WALSH, DANA",CA,8.0,REP,2010,50.1
198,"PELOSI, NANCY",CA,8.0,DEM,2010,50.1
199,"DENNIS, JOHN",CA,8.0,REP,2010,50.1
200,"HASIMOTO, GERALD",CA,9.0,REP,2010,42.6
201,"HELLER, DAVE",CA,9.0,GRE,2010,42.6
202,"ALLEN, LARRY",CA,9.0,PAF,2010,42.6
203,"EYER, JAMES M.",CA,9.0,LIB,2010,42.6
204,"LEE, BARBARA",CA,9.0,DEM,2010,42.6
205,"GARAMENDI, JOHN",CA,10.0,DEM,2010,39.4
206,"ATTWOOD, TIFFANY",CA,10.0,DEM,2010,39.4
207,"VANGUNDY, GINO W",CA,10.0,IND,2010,39.4
208,"PETERSON, DAVID",CA,10.0,REP,2010,39.4
209,"TOTH, JOHN RICHARD",CA,10.0,REP,2010,39.4
210,"BUCHANAN, JOAN",CA,10.0,DEM,2010,39.4
211,"MCILROY, MARY",CA,10.0,PAF,2010,39.4
212,"DENHAM, JEROME 'JERRY'",CA,10.0,AIP,2010,39.4
213,"HAMPTON, ADRIEL",CA,10.0,DEM,2010,39.4
214,"DESAULNIER, MARK",CA,10.0,DEM,2010,39.4
215,"WOODS, ANTHONY MR",CA,10.0,DEM,2010,39.4
216,"BUNCH, CHRISTOPHER N",CA,10.0,REP,2010,39.4
217,"LOOS, MARK ALAN",CA,10.0,REP,2010,39.4
218,"BURKE, BUDDY",CA,10.0,REP,2010,39.4
219,"CLIFT, GARY WILLIAM",CA,10.0,REP,2010,39.4
220,"CLOWARD, JEREMY",CA,10.0,GRE,2010,39.4
221,"BEADLES, ROBERT",CA,11.0,REP,2010,32.2
222,"HARMER, DAVID",CA,11.0,REP,2010,32.2
223,"DEL ARROZ, JONATHAN MR.",CA,11.0,REP,2010,32.2
224,"PEGRAM, LARRY",CA,11.0,REP,2010,32.2
225,"CHRISTENSEN, DAVID",CA,11.0,AIP,2010,32.2
226,"GOEHRING, BRAD",CA,11.0,REP,2010,32.2
227,"MCNERNEY, JERRY",CA,11.0,DEM,2010,32.2
228,"AMADOR, ANTONIO C",CA,11.0,REP,2010,32.2
229,"EMKEN, ELIZABETH",CA,11.0,REP,2010,32.2
230,"TAKADA, JEFFREY DAVID",CA,11.0,REP,2010,32.2
231,"HARDING, JOSEPH MICHAEL",CA,12.0,NNE,2010,46.3
232,"WILLIAMS, MARK PAUL",CA,12.0,LIB,2010,46.3
233,"PARKER, MICHAEL DOUGLAS",CA,12.0,REP,2010,46.3
234,"MOLONEY, MICHAEL J.",CA,12.0,REP,2010,46.3
235,"SPEIER, JACKIE",CA,12.0,DEM,2010,46.3
236,"BAKER, FOREST",CA,13.0,REP,2010,36.9
237,"JELINCIC, JUSTIN",CA,13.0,DEM,2010,36.9
238,"STARK, FORTNEY P.",CA,13.0,DEM,2010,36.9
239,"GARCIA, LUIS 'COACH'",CA,13.0,REP,2010,36.9
240,"PAREJA, CHRISTOPHER JAMES",CA,13.0,W,2010,36.9
241,"CHAPMAN, DAVE",CA,14.0,REP,2010,57.0
242,"LAZAGA, PAUL",CA,14.0,LIB,2010,57.0
243,"SANTANA, RONNY",CA,14.0,REP,2010,57.0
244,"ESHOO, ANNA",CA,14.0,DEM,2010,57.0
245,"BARICH, DON",CA,15.0,REP,2010,46.6
246,"GORDON, KEVIN PATRICK",CA,15.0,REP,2010,46.6
247,"SIMITIAN, S. JOSEPH",CA,15.0,DEM,2010,46.6
248,"KIRKLAND, SCOTT SPENCER",CA,15.0,REP,2010,46.6
249,"CHUKWU, RAYMOND LEMMY",CA,15.0,REP,2010,46.6
250,"HONDA, MIKE",CA,15.0,DEM,2010,46.6
251,"HOWELL, ROBERT PAUL",CA,16.0,REP,2010,32.1
252,"LOFGREN, ZOE",CA,16.0,DEM,2010,32.1
253,"SAHAGUN, DANIEL",CA,16.0,REP,2010,32.1
254,"GONZALEZ, EDWARD M",CA,16.0,LIB,2010,32.1
255,"TAYLOR, JEFFREY E",CA,17.0,REP,2010,26.3
256,"KABAT, RONALD P.",CA,17.0,W,2010,26.3
257,"CHANDLER, WILLIAM THARON",CA,17.0,IND,2010,26.3
258,"ARNOLD, GARY RICHARD",CA,17.0,REP,2010,26.3
259,"ANDRESEN, PETE",CA,17.0,REP,2010,26.3
260,"PETERSEN, ERIC",CA,17.0,GRE,2010,26.3
261,"LE BARRE, MICHAEL ROBERT",CA,17.0,REP,2010,26.3
262,"LARKIN, MARY VIRGINIA",CA,17.0,LIB,2010,26.3
263,"FARR, SAM",CA,17.0,DEM,2010,26.3
264,"DUNN, ART",CA,17.0,DEM,2010,26.3
265,"CARDOZA, DENNIS",CA,18.0,DEM,2010,10.7
266,"BERRYHILL, MICHAEL CLARE SR",CA,18.0,REP,2010,10.7
267,"DENHAM, JEFF",CA,19.0,REP,2010,21.6
268,"ESTRADA, JOHN ANTHONY",CA,19.0,DEM,2010,21.6
269,"WESTERLUND, LARRY",CA,19.0,REP,2010,21.6
270,"POMBO, RICHARD W",CA,19.0,REP,2010,21.6
271,"MARSDEN, LES",CA,19.0,DEM,2010,21.6
272,"PATTERSON, NORWOOD JAMES JR",CA,19.0,REP,2010,21.6
273,"GOODWIN, LORAINE",CA,19.0,DEM,2010,21.6
274,"QUINTANAR, SERAFIN",CA,20.0,REP,2010,7.4
275,"COSTA, JIM MR.",CA,20.0,DEM,2010,7.4
276,"LAKE, RICHARD DAVID GEORGE",CA,20.0,REP,2010,7.4
277,"MILLER, JOSHUA THOMAS COULSTON",CA,20.0,REP,2010,7.4
278,"HAZE, ERNEST STEVEN",CA,20.0,DEM,2010,7.4
279,"VIDAK, JAMES ANDREW",CA,20.0,REP,2010,7.4
280,"MACARENO, RUBEN",CA,21.0,DEM,2010,17.6
281,"NUNES, DEVIN G",CA,21.0,REP,2010,17.6
282,"UEBERSAX, JOHN",CA,22.0,W,2010,20.4
283,"MCCARTHY, KEVIN",CA,22.0,REP,2010,20.4
284,"MILLER, CAROLE LEE",CA,23.0,REP,2010,27.8
285,"STAFFORD, DARRELL M",CA,23.0,LIB,2010,27.8
286,"DAVIDSON, JOHN",CA,23.0,REP,2010,27.8
287,"STOCKDALE, DAVID R",CA,23.0,REP,2010,27.8
288,"HAGER, JOHN VICTOR",CA,23.0,IND,2010,27.8
289,"VANDEVENTER, CLARK",CA,23.0,REP,2010,27.8
290,"CAPPS, LOIS G",CA,23.0,DEM,2010,27.8
291,"WATSON, THOMAS C",CA,23.0,REP,2010,27.8
292,"AGUIAR, LANCE",CA,24.0,UNK,2010,34.3
293,"GALLEGLY, ELTON",CA,24.0,REP,2010,34.3
294,"PANEC, MARIE",CA,24.0,DEM,2010,34.3
295,"KALEMKARIAN, TIMOTHY CHARLES",CA,24.0,REP,2010,34.3
296,"MARTINEZ, JILL MARIE",CA,24.0,DEM,2010,34.3
297,"ALLISON, TIMOTHY JAMES",CA,24.0,DEM,2010,34.3
298,"STERN, SHAWN",CA,24.0,DEM,2010,34.3
299,"JORGENSEN, MARTA ANN",CA,24.0,DEM,2010,34.3
300,"CONAWAY, JACQUESE LYNN",CA,25.0,DEM,2010,21.2
301,"MCKEON, HOWARD P 'BUCK'",CA,25.0,REP,2010,21.2
302,"MILLER, DAVID LAWRENCE",CA,26.0,IND,2010,36.7
303,"BUTLER, MARK",CA,26.0,REP,2010,36.7
304,"WEISSBUNCH, RANDALL",CA,26.0,LIB,2010,36.7
305,"DREIER, DAVID",CA,26.0,REP,2010,36.7
306,"WARNER, RUSS",CA,26.0,DEM,2010,36.7
307,"BROWN, ROBERT",CA,26.0,NNE,2010,36.7
308,"DARIAN, BRUCE HARRY",CA,27.0,FED,2010,29.6
309,"SHERMAN, BRAD",CA,27.0,DEM,2010,29.6
310,"SINGH, NAVRAJ",CA,27.0,REP,2010,29.6
311,"REED, MARK STEVEN SR",CA,27.0,REP,2010,29.6
312,"WORMAN, JENNY",CA,28.0,REP,2010,27.5
313,"BERMAN, HOWARD L.",CA,28.0,DEM,2010,27.5
314,"RODRIQUEZ, CARLOS A",CA,28.0,LIB,2010,27.5
315,"FROYD, ERIK MERLIN",CA,28.0,REP,2010,27.5
316,"VALDEZ, RICHARD A",CA,28.0,DEM,2010,27.5
317,"CUSHING, WILLIAM  (BILL) P",CA,29.0,LIB,2010,38.5
318,"LARGE, MORTON R",CA,29.0,REP,2010,38.5
319,"COLBERT, JOHN",CA,29.0,REP,2010,38.5
320,"SCHIFF, ADAM",CA,29.0,DEM,2010,38.5
321,"PORTANTINO, ANTHONY",CA,29.0,DEM,2010,38.5
322,"MILLER, ERICH D",CA,30.0,LIB,2010,59.7
323,"CASTALDO, RICHARD R",CA,30.0,PAF,2010,59.7
324,"KOLSKI, CHRIS",CA,30.0,REP,2010,59.7
325,"DAVID, ARI",CA,30.0,REP,2010,59.7
326,"FLUTIE, ROBERT A MR",CA,30.0,REP,2010,59.7
327,"BENNING, DAVID",CA,30.0,REP,2010,59.7
328,"WILKERSON, CHARLES EDWARD",CA,30.0,REP,2010,59.7
329,"WAXMAN, HENRY A.",CA,30.0,DEM,2010,59.7
330,"SMITH, STEPHEN CARLTON",CA,31.0,REP,2010,20.0
331,"BECERRA, XAVIER",CA,31.0,DEM,2010,20.0
332,"GENOVESE, SAL",CA,31.0,W,2010,20.0
333,"HERNANDEZ, TERESA",CA,32.0,REP,2010,17.0
334,"TRUAX, DAVID ALLEN",CA,32.0,REP,2010,17.0
335,"JOHNSON, HOWARD ESQ",CA,32.0,PAF,2010,17.0
336,"SCHMERLING, EDWARD ",CA,32.0,REP,2010,17.0
337,"BLAKE, M. WAYNE",CA,32.0,REP,2010,17.0
338,"SANTANA, SALVADOR",CA,32.0,REP,2010,17.0
339,"MORRISON, WILLIAM (RODRIGUEZ)",CA,32.0,REP,2010,17.0
340,"SCARBOROUGH, LARRY DEAN",CA,32.0,REP,2010,17.0
341,"CEDILLO, GILBERT",CA,32.0,DEM,2010,17.0
342,"NADAL, RAFAEL F.",CA,32.0,DEM,2010,17.0
343,"WONG, MARGARITA MARIE",CA,32.0,DEM,2010,17.0
344,"LYSENKO, STEFAN (CONTRERAS)",CA,32.0,DEM,2010,17.0
345,"DURAN, BENITA",CA,32.0,DEM,2010,17.0
346,"ESTRADA, ANDRES",CA,32.0,DEM,2010,17.0
347,"ALONSO, FRANCISCO",CA,32.0,DEM,2010,17.0
348,"AGRELLA, CHRISTOPHER",CA,32.0,LIB,2010,17.0
349,"ARIF, MOHAMMAD",CA,32.0,PAF,2010,17.0
350,"PLEITZ, EMANUEL",CA,32.0,DEM,2010,17.0
351,"CHU, BETTY",CA,32.0,REP,2010,17.0
352,"RATHBUN, TERRENCE (TERRY)",CA,32.0,REP,2010,17.0
353,"ROMERO, GLORIA",CA,32.0,,2010,17.0
354,"CHU, JUDY",CA,32.0,DEM,2010,17.0
355,"BASS, KAREN",CA,33.0,DEM,2010,33.1
356,"DEGROOT, BENJAMIN",CA,33.0,IND,2010,33.1
357,"EVANS, MERVIN LEON",CA,33.0,DEM,2010,33.1
358,"MONTOYA, LUIS",CA,33.0,REP,2010,33.1
359,"GRIFFIN, MORRIS F",CA,33.0,DEM,2010,33.1
360,"ANDION, JAMES L",CA,33.0,REP,2010,33.1
361,"MANDEL, HOWARD C",CA,33.0,DEM,2010,33.1
362,"JENNERJAHN, PHIL",CA,33.0,REP,2010,33.1
363,"MOSTERT, NICK JUAN",CA,33.0,DEM,2010,33.1
364,"CROWLEY, DAVID COCHRANE II",CA,33.0,REP,2010,33.1
365,"NEWELL, FELTON",CA,33.0,DEM,2010,33.1
366,"SANCHEZ, DAVID",CA,34.0,DEM,2010,11.7
367,"ROYBAL-ALLARD, LUCILLE",CA,34.0,DEM,2010,11.7
368,"MILLER, WAYNE",CA,34.0,REP,2010,11.7
369,"WATERS, MAXINE",CA,35.0,DEM,2010,17.0
370," EDMONDSON, SULEIMAN CHARLES",CA,35.0,W,2010,17.0
371,"BROWN, K BRUCE",CA,35.0,REP,2010,17.0
372,"SHARP, ANDREW JAMES",CA,36.0,REP,2010,43.2
373,"PETERS, HERB",CA,36.0,LIB,2010,43.2
374,"KESTERSON, PETE",CA,36.0,REP,2010,43.2
375,"HARMAN, JANE",CA,36.0,DEM,2010,43.2
376,"FEIN, MATTIE",CA,36.0,REP,2010,43.2
377,"WINOGRAD, MARCY",CA,36.0,DEM,2010,43.2
378,"PONCHAK, TERRANCE",CA,37.0,DEM,2010,19.2
379,"POUESI, JUNE",CA,37.0,REP,2010,19.2
380,"MATHEWS, PETER MR.",CA,37.0,DEM,2010,19.2
381,"DAVIS, LEE",CA,37.0,DEM,2010,19.2
382,"RICHARDSON, LAURA",CA,37.0,DEM,2010,19.2
383,"DIBS, NICHOLAS (NICK)",CA,37.0,IND,2010,19.2
384,"PARKER, STAR",CA,37.0,REP,2010,19.2
385,"NAPOLITANO, GRACE",CA,38.0,DEM,2010,15.0
386,"SMITH, CHRIS",CA,38.0,REP,2010,15.0
387,"TURNER, TRACY LYNN",CA,38.0,IND,2010,15.0
388,"VAUGHN, ROBERT WILLIAM",CA,38.0,REP,2010,15.0
389,"SMITH, JOHN ALBERT",CA,39.0,IND,2010,16.9
390,"SANCHEZ, LINDA",CA,39.0,DEM,2010,16.9
391,"ANDION, JAMES L.",CA,39.0,REP,2010,16.9
392,"ANDRE, LARRY STEVEN",CA,39.0,REP,2010,16.9
393,"AVALOS, CHRISTINA",CA,40.0,DEM,2010,31.2
394,"ROYCE, ED MR",CA,40.0,REP,2010,31.2
395,"STONE, ERIC",CA,41.0,REP,2010,20.0
396,"LEWIS, JERRY",CA,41.0,REP,2010,20.0
397,"MEAGHER, PATRICK HAROLD",CA,41.0,DEM,2010,20.0
398,"WILLIAMSON, MICHAEL DALE",CA,42.0,DEM,2010,38.7
399,"LAMBERT, MARK",CA,42.0,LIB,2010,38.7
400,"SU, DAVID SEOKBEOM",CA,42.0,REP,2010,38.7
