percent_bachelor_or_above,name,state_fips,district,year,congress_session,raceyear,state,area,repcandidate,demcandidate
31.4,"Congressional District 25 (111th Congress), New York",36,25,2010,111th Congress,2008,New York,District 25,"Sweetland, Dale A.","Maffei, Daniel B."
29.4,"Congressional District 26 (111th Congress), New York",36,26,2010,111th Congress,2008,New York,District 26,"Lee, Christopher John","Kryzan, Alice"
23.8,"Congressional District 27 (111th Congress), New York",36,27,2010,111th Congress,2008,New York,District 27,"Humiston, Daniel J.","Higgins, Brian M."
24.6,"Congressional District 28 (111th Congress), New York",36,28,2010,111th Congress,2008,New York,District 28,"Crimmen, David W.","Slaughter, Louise M."
29.7,"Congressional District 29 (111th Congress), New York",36,29,2010,111th Congress,2008,New York,District 29,"Kuhl, John Randy","Massa, Eric J."
13.0,"Congressional District 1 (111th Congress), North Carolina",37,01,2010,111th Congress,2008,North Carolina,District 1,"Stephens, Dean","Butterfield, George K."
18.6,"Congressional District 2 (111th Congress), North Carolina",37,02,2010,111th Congress,2008,North Carolina,District 2,"Mansell, Dan","Etheridge, Bob"
22.8,"Congressional District 3 (111th Congress), North Carolina",37,03,2010,111th Congress,2008,North Carolina,District 3,"Jones, Walter B. Jr.","Weber, Craig"
52.4,"Congressional District 4 (111th Congress), North Carolina",37,04,2010,111th Congress,2008,North Carolina,District 4,"Lawson, William B.J.","Price, David E."
22.9,"Congressional District 5 (111th Congress), North Carolina",37,05,2010,111th Congress,2008,North Carolina,District 5,"Foxx, Virginia Ann","Carter, Roy"
25.6,"Congressional District 6 (111th Congress), North Carolina",37,06,2010,111th Congress,2008,North Carolina,District 6,"Coble, Howard","Bratton, Teresa Sue"
21.7,"Congressional District 7 (111th Congress), North Carolina",37,07,2010,111th Congress,2008,North Carolina,District 7,"Breazeale, Will","McIntyre, Mike"
19.7,"Congressional District 8 (111th Congress), North Carolina",37,08,2010,111th Congress,2008,North Carolina,District 8,"Hayes, Robert","Kissell, Larry"
39.6,"Congressional District 9 (111th Congress), North Carolina",37,09,2010,111th Congress,2008,North Carolina,District 9,"Myrick, Sue","Taylor, Harry"
17.4,"Congressional District 10 (111th Congress), North Carolina",37,10,2010,111th Congress,2008,North Carolina,District 10,"McHenry, Patrick T.","Johnson, Daniel"
24.8,"Congressional District 11 (111th Congress), North Carolina",37,11,2010,111th Congress,2008,North Carolina,District 11,"Mumpower, Carl","Shuler, Heath"
23.5,"Congressional District 12 (111th Congress), North Carolina",37,12,2010,111th Congress,2008,North Carolina,District 12,"Cobb, Ty Jr.","Watt, Melvin"
30.2,"Congressional District 13 (111th Congress), North Carolina",37,13,2010,111th Congress,2008,North Carolina,District 13,"Webster, Hugh","Miller, Ralph Bradley"
26.3,"Congressional District (at Large) (111th Congress), North Dakota",38,00,2010,111th Congress,2008,North Dakota,At Large,"Sand, Duane","Pomeroy, Earl"
24.3,"Congressional District 1 (111th Congress), Ohio",39,01,2010,111th Congress,2008,Ohio,District 1,"Chabot, Steve","Driehaus, Steve"
33.2,"Congressional District 2 (111th Congress), Ohio",39,02,2010,111th Congress,2008,Ohio,District 2,"Schmidt, Jean","Wulsin, Victoria"
25.6,"Congressional District 3 (111th Congress), Ohio",39,03,2010,111th Congress,2008,Ohio,District 3,"Turner, Michael R.","Mitakides, Jane"
15.7,"Congressional District 4 (111th Congress), Ohio",39,04,2010,111th Congress,2008,Ohio,District 4,"Jordan, Jim","Carroll, Mike"
17.0,"Congressional District 5 (111th Congress), Ohio",39,05,2010,111th Congress,2008,Ohio,District 5,"Latta, Bob","Mays, George F."
16.6,"Congressional District 6 (111th Congress), Ohio",39,06,2010,111th Congress,2008,Ohio,District 6,"Stobbs, Richard D.","Wilson, Charles A. Jr."
21.3,"Congressional District 7 (111th Congress), Ohio",39,07,2010,111th Congress,2008,Ohio,District 7,"Austria, Steve","Neuhardt, Sharen Swartz"
21.0,"Congressional District 8 (111th Congress), Ohio",39,08,2010,111th Congress,2008,Ohio,District 8,"Boehner, John A.","Von Stein, Nicholas A."
21.7,"Congressional District 9 (111th Congress), Ohio",39,09,2010,111th Congress,2008,Ohio,District 9,"Leavitt, Bradley S.","Kaptur, Marcy"
25.5,"Congressional District 10 (111th Congress), Ohio",39,10,2010,111th Congress,2008,Ohio,District 10,"Trakas, Jim","Kucinich, Dennis J."
26.4,"Congressional District 11 (111th Congress), Ohio",39,11,2010,111th Congress,2008,Ohio,District 11,"Pekarek, Thomas","Fudge, Marcia L."
37.8,"Congressional District 12 (111th Congress), Ohio",39,12,2010,111th Congress,2008,Ohio,District 12,"Tiberi, Pat","Robinson, David"
26.7,"Congressional District 13 (111th Congress), Ohio",39,13,2010,111th Congress,2008,Ohio,District 13,"Potter, David S.","Sutton, Betty"
30.4,"Congressional District 14 (111th Congress), Ohio",39,14,2010,111th Congress,2008,Ohio,District 14,"LaTourette, Steven C.","O'Neill, Bill"
35.1,"Congressional District 15 (111th Congress), Ohio",39,15,2010,111th Congress,2008,Ohio,District 15,"Stivers, Steve","Kilroy, Mary Jo"
22.2,"Congressional District 16 (111th Congress), Ohio",39,16,2010,111th Congress,2008,Ohio,District 16,"Schuring, Kirk","Boccieri, John A."
18.6,"Congressional District 17 (111th Congress), Ohio",39,17,2010,111th Congress,2008,Ohio,District 17,"Grassell, Duane V.","Ryan, Tim"
13.2,"Congressional District 18 (111th Congress), Ohio",39,18,2010,111th Congress,2008,Ohio,District 18,"Dailey, Fred","Space, Zachary T."
27.7,"Congressional District 1 (111th Congress), Oklahoma",40,01,2010,111th Congress,2008,Oklahoma,District 1,"Sullivan, John","Oliver, Georgianna W."
15.0,"Congressional District 2 (111th Congress), Oklahoma",40,02,2010,111th Congress,2008,Oklahoma,District 2,"Wickson, Raymond","Boren, David Daniel"
20.5,"Congressional District 3 (111th Congress), Oklahoma",40,03,2010,111th Congress,2008,Oklahoma,District 3,"Lucas, Frank D.","Robbins, Frankie"
22.6,"Congressional District 4 (111th Congress), Oklahoma",40,04,2010,111th Congress,2008,Oklahoma,District 4,"Cole, Thomas J.","Cummings, Blake"
27.2,"Congressional District 5 (111th Congress), Oklahoma",40,05,2010,111th Congress,2008,Oklahoma,District 5,"Fallin, Mary","Perry, Steven L."
37.5,"Congressional District 1 (111th Congress), Oregon",41,01,2010,111th Congress,2008,Oregon,District 1,,"Wu, David"
21.6,"Congressional District 2 (111th Congress), Oregon",41,02,2010,111th Congress,2008,Oregon,District 2,"Walden, Greg","Lemas, Noah"
31.2,"Congressional District 3 (111th Congress), Oregon",41,03,2010,111th Congress,2008,Oregon,District 3,"Lopez, Delia","Blumenauer, Earl"
23.6,"Congressional District 4 (111th Congress), Oregon",41,04,2010,111th Congress,2008,Oregon,District 4,,"DeFazio, Peter A."
29.1,"Congressional District 5 (111th Congress), Oregon",41,05,2010,111th Congress,2008,Oregon,District 5,"Erickson, Mike","Schrader, Kurt"
17.6,"Congressional District 1 (111th Congress), Pennsylvania",42,01,2010,111th Congress,2008,Pennsylvania,District 1,"Muhammad, Mike","Brady, Robert A."
30.1,"Congressional District 2 (111th Congress), Pennsylvania",42,02,2010,111th Congress,2008,Pennsylvania,District 2,"Lang, Adam A.","Fattah, Chaka"
20.5,"Congressional District 1 (111th Congress), Alabama",01,01,2010,111th Congress,2008,Alabama,District 1,"Bonner, Josiah Robbins Jr.",
19.3,"Congressional District 2 (111th Congress), Alabama",01,02,2010,111th Congress,2008,Alabama,District 2,"Love, Jay","Bright, Bobby"
19.5,"Congressional District 3 (111th Congress), Alabama",01,03,2010,111th Congress,2008,Alabama,District 3,"Rogers, Mike D.","Segall, Joshua"
13.1,"Congressional District 4 (111th Congress), Alabama",01,04,2010,111th Congress,2008,Alabama,District 4,"Aderholt, Robert","Sparks, Nicholas B."
26.7,"Congressional District 5 (111th Congress), Alabama",01,05,2010,111th Congress,2008,Alabama,District 5,"Parker, Wayne","Griffith, Parker"
33.6,"Congressional District 6 (111th Congress), Alabama",01,06,2010,111th Congress,2008,Alabama,District 6,"Bachus, Spencer",
17.1,"Congressional District 7 (111th Congress), Alabama",01,07,2010,111th Congress,2008,Alabama,District 7,,"Davis, Artur"
27.0,"Congressional District (at Large) (111th Congress), Alaska",02,00,2010,111th Congress,2008,Alaska,At Large,"Young, Don","Berkowitz, Ethan A."
19.2,"Congressional District 1 (111th Congress), Arizona",04,01,2010,111th Congress,2008,Arizona,District 1,"Hay, Sydney Ann","Kirkpatrick, Ann"
21.9,"Congressional District 2 (111th Congress), Arizona",04,02,2010,111th Congress,2008,Arizona,District 2,"Franks, Trent","Thrasher, John"
33.9,"Congressional District 3 (111th Congress), Arizona",04,03,2010,111th Congress,2008,Arizona,District 3,"Shadegg, John","Lord, Bob"
13.6,"Congressional District 4 (111th Congress), Arizona",04,04,2010,111th Congress,2008,Arizona,District 4,"Karg, Don","Pastor, Ed"
43.6,"Congressional District 5 (111th Congress), Arizona",04,05,2010,111th Congress,2008,Arizona,District 5,"Schweikert, David","Mitchell, Harry"
28.5,"Congressional District 6 (111th Congress), Arizona",04,06,2010,111th Congress,2008,Arizona,District 6,"Flake, Jeff","Schneider, Rebecca"
15.3,"Congressional District 7 (111th Congress), Arizona",04,07,2010,111th Congress,2008,Arizona,District 7,"Sweeney, Joseph D.","Grijalva, Raúl M."
34.1,"Congressional District 8 (111th Congress), Arizona",04,08,2010,111th Congress,2008,Arizona,District 8,"Bee, Tim","Giffords, Gabrielle"
13.7,"Congressional District 1 (111th Congress), Arkansas",05,01,2010,111th Congress,2008,Arkansas,District 1,,"Berry, Marion"
25.8,"Congressional District 2 (111th Congress), Arkansas",05,02,2010,111th Congress,2008,Arkansas,District 2,,"Snyder, Vic"
21.3,"Congressional District 3 (111th Congress), Arkansas",05,03,2010,111th Congress,2008,Arkansas,District 3,"Boozman, John",
15.0,"Congressional District 4 (111th Congress), Arkansas",05,04,2010,111th Congress,2008,Arkansas,District 4,,"Ross, Mike"
28.4,"Congressional District 1 (111th Congress), California",06,01,2010,111th Congress,2008,California,District 1,"Starkewolf, Zane","Thompson, Mike"
20.4,"Congressional District 2 (111th Congress), California",06,02,2010,111th Congress,2008,California,District 2,"Herger, Wally","Morris, Jeff"
29.0,"Congressional District 3 (111th Congress), California",06,03,2010,111th Congress,2008,California,District 3,"Lungren, Dan","Durston, Bill"
29.6,"Congressional District 4 (111th Congress), California",06,04,2010,111th Congress,2008,California,District 4,"McClintock, Tom","Brown, Charlie"
25.4,"Congressional District 5 (111th Congress), California",06,05,2010,111th Congress,2008,California,District 5,"Smith, Paul A.","Matsui, Doris"
40.5,"Congressional District 6 (111th Congress), California",06,06,2010,111th Congress,2008,California,District 6,"Halliwell, Mike","Woolsey, Lynn"
25.5,"Congressional District 7 (111th Congress), California",06,07,2010,111th Congress,2008,California,District 7,"Petersen, Roger Allen","Miller, George"
50.1,"Congressional District 8 (111th Congress), California",06,08,2010,111th Congress,2008,California,District 8,"Walsh, Dana","Pelosi, Nancy"
42.6,"Congressional District 9 (111th Congress), California",06,09,2010,111th Congress,2008,California,District 9,"Hargrave, Charles R.","Lee, Barbara"
39.4,"Congressional District 10 (111th Congress), California",06,10,2010,111th Congress,2008,California,District 10,"Gerber, Nicholas","Tauscher, Ellen O."
32.2,"Congressional District 11 (111th Congress), California",06,11,2010,111th Congress,2008,California,District 11,"Andal, Dean","McNerney, Jerry"
46.3,"Congressional District 12 (111th Congress), California",06,12,2010,111th Congress,2008,California,District 12,"Conlon, Greg","Speier, Jackie"
36.9,"Congressional District 13 (111th Congress), California",06,13,2010,111th Congress,2008,California,District 13,"Chui, Raymond","Stark, Fortney Pete"
57.0,"Congressional District 14 (111th Congress), California",06,14,2010,111th Congress,2008,California,District 14,"Santana, Ronny","Eshoo, Anna G."
46.6,"Congressional District 15 (111th Congress), California",06,15,2010,111th Congress,2008,California,District 15,"Cordi, Joyce Stoer","Honda, Mike M."
32.1,"Congressional District 16 (111th Congress), California",06,16,2010,111th Congress,2008,California,District 16,"Winston, Charel","Lofgren, Zoe"
26.3,"Congressional District 17 (111th Congress), California",06,17,2010,111th Congress,2008,California,District 17,"Taylor, Jeff","Farr, Sam"
10.7,"Congressional District 18 (111th Congress), California",06,18,2010,111th Congress,2008,California,District 18,,"Cardoza, Dennis"
21.6,"Congressional District 19 (111th Congress), California",06,19,2010,111th Congress,2008,California,District 19,"Radanovich, George P.",
7.4,"Congressional District 20 (111th Congress), California",06,20,2010,111th Congress,2008,California,District 20,"Lopez, Jim","Costa, Jim"
17.6,"Congressional District 21 (111th Congress), California",06,21,2010,111th Congress,2008,California,District 21,"Nunes, Devin","Johnson, Larry"
20.4,"Congressional District 22 (111th Congress), California",06,22,2010,111th Congress,2008,California,District 22,"McCarthy, Kevin",
27.8,"Congressional District 23 (111th Congress), California",06,23,2010,111th Congress,2008,California,District 23,"Kokkonen, Matt T.","Capps, Lois"
34.3,"Congressional District 24 (111th Congress), California",06,24,2010,111th Congress,2008,California,District 24,"Gallegly, Elton","Jorgensen, Marta Ann"
21.2,"Congressional District 25 (111th Congress), California",06,25,2010,111th Congress,2008,California,District 25,"McKeon, Howard P.","Conaway, Jackie"
36.7,"Congressional District 26 (111th Congress), California",06,26,2010,111th Congress,2008,California,District 26,"Dreier, David","Warner, Russ"
29.6,"Congressional District 27 (111th Congress), California",06,27,2010,111th Congress,2008,California,District 27,"Singh, Navraj","Sherman, Brad"
27.5,"Congressional District 28 (111th Congress), California",06,28,2010,111th Congress,2008,California,District 28,,"Berman, Howard L."
38.5,"Congressional District 29 (111th Congress), California",06,29,2010,111th Congress,2008,California,District 29,"Hahn, Charles","Schiff, Adam B."
59.7,"Congressional District 30 (111th Congress), California",06,30,2010,111th Congress,2008,California,District 30,,"Waxman, Henry A."
20.0,"Congressional District 31 (111th Congress), California",06,31,2010,111th Congress,2008,California,District 31,,"Becerra, Xavier"
17.0,"Congressional District 32 (111th Congress), California",06,32,2010,111th Congress,2008,California,District 32,,"Solis, Hilda L."
33.1,"Congressional District 33 (111th Congress), California",06,33,2010,111th Congress,2008,California,District 33,"Crowley, David C.","Watson, Diane Edith"
11.7,"Congressional District 34 (111th Congress), California",06,34,2010,111th Congress,2008,California,District 34,"Balding, Christopher","Roybal-Allard, Lucille"
17.0,"Congressional District 35 (111th Congress), California",06,35,2010,111th Congress,2008,California,District 35,"Hayes, Ted","Waters, Maxine"
43.2,"Congressional District 36 (111th Congress), California",06,36,2010,111th Congress,2008,California,District 36,"Gibson, Brian","Harman, Jane"
19.2,"Congressional District 37 (111th Congress), California",06,37,2010,111th Congress,2008,California,District 37,,"Richardson, Laura"
15.0,"Congressional District 38 (111th Congress), California",06,38,2010,111th Congress,2008,California,District 38,,"Napolitano, Grace Flores"
16.9,"Congressional District 39 (111th Congress), California",06,39,2010,111th Congress,2008,California,District 39,"Lenning, Diane A.","Sánchez, Linda T."
31.2,"Congressional District 40 (111th Congress), California",06,40,2010,111th Congress,2008,California,District 40,"Royce, Ed","Avalos, Christina"
20.0,"Congressional District 41 (111th Congress), California",06,41,2010,111th Congress,2008,California,District 41,"Lewis, Jerry","Prince, Tim"
38.7,"Congressional District 42 (111th Congress), California",06,42,2010,111th Congress,2008,California,District 42,"Miller, Gary G.","Chau, Edwin Ed"
11.5,"Congressional District 43 (111th Congress), California",06,43,2010,111th Congress,2008,California,District 43,"Roberts, John","Baca, Joe"
25.8,"Congressional District 44 (111th Congress), California",06,44,2010,111th Congress,2008,California,District 44,"Calvert, Ken","Hedrick, Bill"
21.1,"Congressional District 45 (111th Congress), California",06,45,2010,111th Congress,2008,California,District 45,"Bono Mack, Mary","Bornstein, Julie"
40.5,"Congressional District 46 (111th Congress), California",06,46,2010,111th Congress,2008,California,District 46,"Rohrabacher, Dana","Cook, Debbie"
13.5,"Congressional District 47 (111th Congress), California",06,47,2010,111th Congress,2008,California,District 47,"Avila, Rosemarie Rosie","Sanchez, Loretta"
52.6,"Congressional District 48 (111th Congress), California",06,48,2010,111th Congress,2008,California,District 48,"Campbell, John","Young, Steve"
23.1,"Congressional District 49 (111th Congress), California",06,49,2010,111th Congress,2008,California,District 49,"Issa, Darrell","Hamilton, Robert"
45.4,"Congressional District 50 (111th Congress), California",06,50,2010,111th Congress,2008,California,District 50,"Bilbray, Brian P.","Leibham, Nick"
18.2,"Congressional District 51 (111th Congress), California",06,51,2010,111th Congress,2008,California,District 51,"Joy, David Lee","Filner, Bob"
32.3,"Congressional District 52 (111th Congress), California",06,52,2010,111th Congress,2008,California,District 52,"Hunter, Duncan L.","Lumpkin, Mike"
39.1,"Congressional District 53 (111th Congress), California",06,53,2010,111th Congress,2008,California,District 53,"Crimmins, Michael","Davis, Susan A."
39.7,"Congressional District 1 (111th Congress), Colorado",08,01,2010,111th Congress,2008,Colorado,District 1,"Lilly, George C.","DeGette, Diana L."
41.7,"Congressional District 2 (111th Congress), Colorado",08,02,2010,111th Congress,2008,Colorado,District 2,"Starin, Scott","Polis, Jared"
26.7,"Congressional District 3 (111th Congress), Colorado",08,03,2010,111th Congress,2008,Colorado,District 3,"Wolf, Wayne","Salazar, John T."
32.0,"Congressional District 4 (111th Congress), Colorado",08,04,2010,111th Congress,2008,Colorado,District 4,"Musgrave, Marilyn","Markey, Betsy"
33.1,"Congressional District 5 (111th Congress), Colorado",08,05,2010,111th Congress,2008,Colorado,District 5,"Lamborn, Doug","Bidlack, Hal"
48.8,"Congressional District 6 (111th Congress), Colorado",08,06,2010,111th Congress,2008,Colorado,District 6,"Coffman, Mike","Eng, Hank"
27.5,"Congressional District 7 (111th Congress), Colorado",08,07,2010,111th Congress,2008,Colorado,District 7,"Lerew, John W.","Perlmutter, Ed"
32.1,"Congressional District 1 (111th Congress), Connecticut",09,01,2010,111th Congress,2008,Connecticut,District 1,"Visconti, Joe","Larson, John B."
32.6,"Congressional District 2 (111th Congress), Connecticut",09,02,2010,111th Congress,2008,Connecticut,District 2,"Sullivan, Sean","Courtney, Joe"
32.1,"Congressional District 3 (111th Congress), Connecticut",09,03,2010,111th Congress,2008,Connecticut,District 3,"Itshaky, Bo","DeLauro, Rosa L."
45.9,"Congressional District 4 (111th Congress), Connecticut",09,04,2010,111th Congress,2008,Connecticut,District 4,"Shays, Christopher","Himes, Jim"
33.6,"Congressional District 5 (111th Congress), Connecticut",09,05,2010,111th Congress,2008,Connecticut,District 5,"Cappiello, David J.","Murphy, Christopher"
27.7,"Congressional District (at Large) (111th Congress), Delaware",10,00,2010,111th Congress,2008,Delaware,At Large,"Castle, Michael N.","Hartley-Nagle, Karen"
49.2,"Delegate District (at Large) (111th Congress), District of Columbia",11,98,2010,111th Congress,2008,,,,
22.7,"Congressional District 1 (111th Congress), Florida",12,01,2010,111th Congress,2008,Florida,District 1,"Miller, Jeff","Bryan, James"
25.3,"Congressional District 2 (111th Congress), Florida",12,02,2010,111th Congress,2008,Florida,District 2,"Mulligan, Mark","Boyd, F. Allen Jr."
14.9,"Congressional District 3 (111th Congress), Florida",12,03,2010,111th Congress,2008,Florida,District 3,,"Brown, Corrine"
27.2,"Congressional District 4 (111th Congress), Florida",12,04,2010,111th Congress,2008,Florida,District 4,"Crenshaw, Ander","McGovern, Jay"
19.3,"Congressional District 5 (111th Congress), Florida",12,05,2010,111th Congress,2008,Florida,District 5,"Brown-Waite, Virginia","Russell, John"
24.3,"Congressional District 6 (111th Congress), Florida",12,06,2010,111th Congress,2008,Florida,District 6,"Stearns, Clifford B.","Cunha, Tim"
28.3,"Congressional District 7 (111th Congress), Florida",12,07,2010,111th Congress,2008,Florida,District 7,"Mica, John L.","Armitage, Faye"
29.7,"Congressional District 8 (111th Congress), Florida",12,08,2010,111th Congress,2008,Florida,District 8,"Keller, Ric","Grayson, Alan"
29.4,"Congressional District 9 (111th Congress), Florida",12,09,2010,111th Congress,2008,Florida,District 9,"Bilirakis, Gus Michael","Mitchell, Bill"
26.9,"Congressional District 10 (111th Congress), Florida",12,10,2010,111th Congress,2008,Florida,District 10,"Young, C.W. Bill","Hackworth, Bob"
24.4,"Congressional District 11 (111th Congress), Florida",12,11,2010,111th Congress,2008,Florida,District 11,"Adams, Eddie Jr.","Castor, Kathy"
20.0,"Congressional District 12 (111th Congress), Florida",12,12,2010,111th Congress,2008,Florida,District 12,"Putnam, Adam H.","Tudor, Doug"
26.8,"Congressional District 13 (111th Congress), Florida",12,13,2010,111th Congress,2008,Florida,District 13,"Buchanan, Vern","Jennings, Christine"
27.5,"Congressional District 14 (111th Congress), Florida",12,14,2010,111th Congress,2008,Florida,District 14,"Mack, Connie IV","Neeld, Robert M."
24.8,"Congressional District 15 (111th Congress), Florida",12,15,2010,111th Congress,2008,Florida,District 15,"Posey, Bill","Blythe, Stephen"
22.5,"Congressional District 16 (111th Congress), Florida",12,16,2010,111th Congress,2008,Florida,District 16,"Rooney, Tom","Mahoney, Tim"
17.0,"Congressional District 17 (111th Congress), Florida",12,17,2010,111th Congress,2008,Florida,District 17,,"Meek, Kendrick B."
31.0,"Congressional District 18 (111th Congress), Florida",12,18,2010,111th Congress,2008,Florida,District 18,"Ros-Lehtinen, Ileana","Taddeo, Annette"
30.9,"Congressional District 19 (111th Congress), Florida",12,19,2010,111th Congress,2008,Florida,District 19,"Lynch, Edward J.","Wexler, Robert"
36.5,"Congressional District 20 (111th Congress), Florida",12,20,2010,111th Congress,2008,Florida,District 20,,"Wasserman-Schultz, Debbie"
