,district,state_fips,year,rep_cand_oct,rep_cand_nov,dem_cand_oct,dem_cand_nov,dem_cand_name,rep_cand_name
34,6.0,6.0,2018.0,0.0,0.0,25.375,46.8125,Jrmar Jefferson,A4m$2dkW0*21&zpM
35,6.0,47.0,2018.0,19.1875,26.125,2.125,20.3125,Dawn Barlow,John Rose
36,23.0,36.0,2018.0,32.6875,34.125,27.6875,36.3125,Tracy Mitrano,Tom Reed
37,3.0,49.0,2018.0,8.75,17.9375,12.375,29.75,James Singer,John Curtis
38,27.0,48.0,2018.0,31.375,23.25,8.8125,13.5625,Eric Holguin,Michael Cloud
39,18.0,17.0,2018.0,28.25,31.625,21.375,12.875,Junius Rodriguez,Darin LaHood
40,44.0,6.0,2018.0,0.0,0.0,11.8125,21.875,Aja Brown,A4m$2dkW0*21&zpM
41,9.0,17.0,2018.0,17.875,21.5,25.5625,24.1875,Jan Schakowsky,John Elleson
42,21.0,48.0,2018.0,17.125,40.8125,19.125,40.0625,Joseph Kopser,Chip Roy
43,0.0,50.0,2018.0,6.9375,10.5625,23.375,23.5,Peter Welch,Anya Tynio
44,16.0,17.0,2018.0,14.5,37.75,8.25,24.0,Sara Dady,Adam Kinzinger
45,7.0,6.0,2018.0,24.375,34.5625,27.0,35.6875,Ami Bera,Andrew Grant
46,5.0,9.0,2018.0,9.0625,20.9375,22.5625,45.9375,Jahana Hayes,Manny Santos
47,6.0,21.0,2018.0,23.5625,21.1875,42.8125,44.6875,Amy McGrath,Andy Barr
48,9.0,25.0,2018.0,35.1875,29.8125,8.875,8.5625,William Keating,Peter Tedeschi
49,5.0,25.0,2018.0,10.1875,17.9375,17.875,24.375,Katherine Clark,John Hugo
50,2.0,18.0,2018.0,54.625,30.875,38.0625,32.9375,Mel Hall,Jackie Walorski
51,9.0,36.0,2018.0,3.0625,9.5625,25.5625,18.8125,Yvette Clarke,Lutchi Gayot
52,1.0,33.0,2018.0,31.8125,29.375,31.9375,30.0625,Chris Pappas,Eddie Edwards
53,6.0,29.0,2018.0,9.0,25.375,11.125,13.5625,Henry Martin,Sam Graves
54,8.0,18.0,2018.0,0.0,38.125,10.5625,3.375,William Tanoos,Larry Bucshon
55,16.0,12.0,2018.0,30.375,25.6875,33.1875,30.625,David Shapiro,Vern Buchanan
56,23.0,6.0,2018.0,40.25,51.6875,6.875,4.8125,Tatiana Matta,Kevin McCarthy
57,7.0,25.0,2018.0,0.0,0.0,19.5625,33.1875,Ayanna Pressley,A4m$2dkW0*21&zpM
58,6.0,24.0,2018.0,5.3125,14.875,39.375,54.8125,David Trone,Amie Hoeber
59,5.0,47.0,2018.0,4.875,15.625,26.9375,23.0,Jim Cooper,Jody Ball
60,16.0,42.0,2018.0,40.875,38.5625,14.875,29.625,Ron DiNicola,Mike Kelly
61,10.0,39.0,2018.0,12.8125,26.8125,31.9375,15.25,Theresa Gasper,Michael Turner
62,14.0,42.0,2018.0,30.5625,20.9375,15.125,18.375,Bibiana Boerio,Guy Reschenthaler
63,5.0,22.0,2018.0,26.5,31.8125,6.125,13.375,Jessee Fleenor,Ralph Abraham
64,3.0,8.0,2018.0,30.1875,41.5625,43.9375,51.375,Diane Bush,Scott Tipton
65,4.0,22.0,2018.0,31.5,14.25,9.5,18.5625,Ryan Trundle,Mike Johnson
66,2.0,54.0,2018.0,9.125,20.4375,12.75,33.75,Talley Sergent,Alex Mooney
67,1.0,13.0,2018.0,32.25,20.9375,23.625,14.8125,Lisa Ring,Buddy Carter
68,14.0,48.0,2018.0,26.9375,16.1875,24.1875,18.6875,Adrienne Bell,Randy Weber
69,1.0,4.0,2018.0,24.25,31.875,6.75,8.375,Tom O'Halleran,Wendy Rogers
70,4.0,27.0,2018.0,14.875,19.9375,18.6875,26.625,Betty McCollum,Greg Ryan
71,12.0,37.0,2018.0,15.3125,26.8125,23.125,36.4375,Alma Adams,Paul Wright
72,9.0,48.0,2018.0,0.0,0.0,0.0,0.0,,
73,8.0,37.0,2018.0,40.125,31.6875,10.4375,13.25,Frank McNeill,Richard Hudson
74,9.0,39.0,2018.0,0.0,6.5,19.4375,32.6875,Marcy Kaptur,Steven Kraus
75,11.0,34.0,2018.0,24.9375,25.6875,33.375,58.125,Mikie Sherrill,Jay Webber
76,0.0,56.0,2018.0,21.875,18.0,5.4375,23.25,Greg Hunter,Liz Cheney
77,41.0,6.0,2018.0,9.0625,31.0,21.5625,40.75,Mark Takano,Aja Smith
78,4.0,37.0,2018.0,0.25,0.8125,7.0,17.8125,David Price,Steve Von Loor
79,4.0,26.0,2018.0,26.0625,38.5625,5.25,0.0,Jerry Hilliard,John Moolenaar
80,15.0,39.0,2018.0,22.4375,37.375,15.9375,49.1875,Rick Neal,Steve Stivers
81,16.0,39.0,2018.0,16.5625,29.5,7.375,10.25,Susan Palmer,Anthony Gonzalez
82,15.0,17.0,2018.0,9.75,21.0,8.3125,4.125,Kevin Gaither,John Shimkus
83,2.0,4.0,2018.0,28.75,26.3125,28.625,33.625,Ann Kirkpatrick,Lea Peterson
84,3.0,5.0,2018.0,4.5,24.6875,3.0625,3.5,Josh Mahony,Steve Womack
85,7.0,39.0,2018.0,25.0,26.625,44.75,44.3125,Ken Harbaugh,Bob Gibbs
86,27.0,6.0,2018.0,0.0,0.0,18.6875,40.4375,Bryan Witt,A4m$2dkW0*21&zpM
87,1.0,26.0,2018.0,24.8125,27.125,23.5625,30.3125,Matt Morgan,Jack Bergman
88,22.0,6.0,2018.0,68.375,49.875,37.0,40.4375,Andrew Janz,Devin Nunes
89,3.0,45.0,2018.0,5.125,13.1875,7.25,12.5625,Mary Geren,Jeff Duncan
90,3.0,41.0,2018.0,0.0,0.0,12.5625,41.8125,Earl Blumenauer,A4m$2dkW0*21&zpM
91,3.0,25.0,2018.0,10.6875,17.6875,16.0625,41.625,Lori Trahan,Rick Green
92,4.0,53.0,2018.0,26.25,36.625,21.75,30.375,Christine Brown,Dan Newhouse
93,2.0,51.0,2018.0,53.5625,69.375,34.625,51.0625,Elaine Luria,Scott Taylor
94,6.0,36.0,2018.0,0.0,0.0,25.8125,27.6875,Grace Meng,A4m$2dkW0*21&zpM
95,1.0,6.0,2018.0,13.6875,16.75,39.0,40.625,Audrey Denney,Doug LaMalfa
96,3.0,48.0,2018.0,36.375,42.25,21.1875,31.75,Lorie Burch,Van Taylor
97,7.0,24.0,2018.0,1.9375,12.8125,18.375,25.6875,Elijah Cummings,Richmond Davis
98,17.0,42.0,2018.0,21.5,27.75,41.6875,35.5625,Conor Lamb,Keith Rothfus
99,2.0,26.0,2018.0,16.5,18.5625,20.3125,23.6875,Rob Davidson,Bill Huizenga
100,1.0,49.0,2018.0,10.25,37.875,9.375,28.4375,Lee Castillo,Rob Bishop
101,7.0,53.0,2018.0,2.25,17.8125,6.75,49.375,Pramila Jayapal,Craig Keller
102,12.0,17.0,2018.0,24.125,49.5625,31.6875,28.125,Brendan Kelly,Mike Bost
103,3.0,31.0,2018.0,12.8125,28.4375,4.9375,13.125,Paul Theobald,Adrian Smith
104,3.0,13.0,2018.0,11.25,27.75,11.8125,17.75,Chuck Enderlin,Drew Ferguson
105,28.0,48.0,2018.0,0.0,0.0,20.125,24.3125,Henry Cuellar,A4m$2dkW0*21&zpM
106,33.0,48.0,2018.0,6.6875,22.0625,12.875,18.5,Marc Veasey,Willie Billups
107,3.0,27.0,2018.0,26.875,29.625,69.625,56.375,Dean Phillips,Erik Paulsen
108,16.0,36.0,2018.0,0.0,0.0,9.5625,26.125,Eliot Engel,A4m$2dkW0*21&zpM
109,2.0,13.0,2018.0,12.6875,12.0625,9.0,12.5625,Sanford Bishop,Herman West
110,9.0,53.0,2018.0,0.0,0.0,27.0625,58.6875,Sarah Smith,A4m$2dkW0*21&zpM
111,7.0,36.0,2018.0,0.0,0.0,4.9375,12.3125,Nydia Velázquez,A4m$2dkW0*21&zpM
112,4.0,29.0,2018.0,17.4375,41.125,9.625,44.0625,Renee Hoagenson,Vicky Hartzler
113,10.0,42.0,2018.0,21.75,32.8125,31.375,39.375,George Scott,Scott Perry
114,4.0,13.0,2018.0,22.1875,20.4375,27.25,35.6875,Hank Johnson,Joe Profit
115,7.0,26.0,2018.0,20.9375,40.1875,29.5,29.75,Gretchen Driskell,Tim Walberg
116,15.0,42.0,2018.0,25.25,20.4375,8.25,25.4375,Susan Boser,Glenn Thompson
117,1.0,32.0,2018.0,2.0625,22.375,12.6875,19.3125,Dina Titus,Joyce Bentley
118,9.0,4.0,2018.0,17.1875,15.125,38.6875,33.5,Greg Stanton,Steve Ferrara
119,39.0,6.0,2018.0,61.3125,64.0625,40.625,50.9375,Gil Cisneros,Young Kim
120,7.0,51.0,2018.0,26.125,36.4375,32.0,40.4375,Abigail Spanberger,Dave Brat
121,6.0,45.0,2018.0,0.0,0.0,24.0,12.5,James Clyburn,Gerhard Gressmann
122,8.0,26.0,2018.0,17.625,18.6875,32.375,41.0625,Elissa Slotkin,Mike Bishop
123,4.0,51.0,2018.0,14.0,35.6875,25.75,35.5625,Donald McEachin,Ryan McAdams
124,23.0,12.0,2018.0,0.6875,0.375,2.6875,15.6875,Debbie Schultz,Joe Kaufman
125,4.0,9.0,2018.0,31.375,27.6875,13.125,34.3125,Jim Himes,Harry Arora
126,14.0,6.0,2018.0,0.0,0.0,29.0625,31.875,Jackie Speier,Cristina Osmeña
127,1.0,36.0,2018.0,34.5,54.6875,31.1875,48.0,Perry Gershon,Lee Zeldin
128,1.0,21.0,2018.0,7.5,14.4375,42.5,34.4375,Paul Walker,James Comer
129,12.0,12.0,2018.0,14.625,27.5625,14.5,39.5,Chris Hunter,Gus Bilirakis
130,13.0,39.0,2018.0,9.625,11.8125,31.9375,35.75,Tim Ryan,Chris DePizzo
131,4.0,40.0,2018.0,12.625,47.125,13.8125,6.6875,Mary Brannon,Tom Cole
132,24.0,12.0,2018.0,0.0,0.0,18.5,21.4375,Frederica Wilson,A4m$2dkW0*21&zpM
133,10.0,12.0,2018.0,0.0,0.0,28.125,27.5625,Val Demings,A4m$2dkW0*21&zpM
134,11.0,6.0,2018.0,19.5,33.0625,12.0,10.6875,Mark DeSaulnier,John Fitzgerald
135,7.0,42.0,2018.0,33.9375,22.875,40.625,50.6875,Susan Wild,Marty Nothstein
136,2.0,6.0,2018.0,0.0,10.25,13.25,32.4375,Jared Huffman,Dale Mensing
137,9.0,37.0,2018.0,34.625,52.0625,25.25,42.875,Dan McCready,Mark Harris
138,4.0,48.0,2018.0,15.4375,22.375,12.875,6.3125,Catherine Krantz,John Ratcliffe
139,5.0,12.0,2018.0,0.0,19.3125,0.0,0.0,A4m$2dkW0*21&zpM,Virginia Fuller
140,2.0,8.0,2018.0,6.1875,26.8125,8.3125,45.25,Joe Neguse,Peter Yu
141,14.0,26.0,2018.0,11.0625,28.4375,32.6875,32.9375,Brenda Lawrence,Marc Herschfus
142,24.0,48.0,2018.0,15.875,35.6875,8.25,33.4375,Jan McDowell,Kenny Marchant
143,0.0,30.0,2018.0,10.1875,15.25,21.9375,26.25,Kathleen Williams,Greg Gianforte
144,36.0,48.0,2018.0,8.1875,20.5625,5.0,22.25,Dayna Steele,Brian Babin
145,13.0,17.0,2018.0,32.3125,35.75,32.0,36.5,Betsy Londrigan,Rodney Davis
146,5.0,18.0,2018.0,22.125,28.625,19.5625,16.25,Dee Thornton,Susan Brooks
147,2.0,5.0,2018.0,22.25,32.125,18.375,31.25,Clarke Tucker,French Hill
148,2.0,19.0,2018.0,13.375,25.375,4.0,13.0,David Loebsack,Christopher Peters
149,21.0,12.0,2018.0,0.0,0.0,10.6875,44.875,Lois Frankel,A4m$2dkW0*21&zpM
150,2.0,55.0,2018.0,0.0,0.0,22.25,31.0,Mark Pocan,A4m$2dkW0*21&zpM
151,14.0,39.0,2018.0,15.5,25.1875,55.4375,40.5,Betsy Rader,David Joyce
152,1.0,54.0,2018.0,6.25,16.75,17.25,22.3125,Kendra Fershee,David McKinley
153,5.0,45.0,2018.0,22.125,29.9375,20.5,19.875,Archie Parnell,Ralph Norman
154,11.0,36.0,2018.0,1.5625,3.1875,38.5,57.3125,Max Rose,Daniel Donovan
155,17.0,48.0,2018.0,25.75,35.8125,12.9375,15.875,Rick Kennedy,Bill Flores
156,8.0,42.0,2018.0,31.25,34.3125,29.25,26.125,Matt Cartwright,John Chrin
157,1.0,24.0,2018.0,34.9375,27.75,22.1875,34.125,Jesse Colvin,Andy Harris
158,25.0,6.0,2018.0,7.0625,11.4375,38.0,50.375,Katie Hill,Steve Knight
159,16.0,6.0,2018.0,28.1875,43.875,20.9375,36.3125,Jim Costa,Elizabeth Heng
160,9.0,18.0,2018.0,13.8125,17.0,25.375,30.0625,Liz Watson,Trey Hollingsworth
161,1.0,22.0,2018.0,20.6875,40.125,5.625,10.6875,Lee Dugas,Steve Scalise
162,12.0,36.0,2018.0,1.9375,6.1875,27.25,34.625,Carolyn Maloney,Eliot Rabin
163,9.0,12.0,2018.0,6.0,15.0,21.5625,35.5625,Darren Soto,Wayne Liebnitzky
164,12.0,34.0,2018.0,7.3125,35.4375,27.0625,36.25,Bonnie Coleman,Daryl Kipnis
165,3.0,6.0,2018.0,13.25,13.4375,30.0625,23.75,John Garamendi,Charlie Schaupp
166,2.0,39.0,2018.0,29.0625,20.9375,20.9375,31.125,Jill Schiller,Brad Wenstrup
167,53.0,6.0,2018.0,23.4375,8.3125,38.25,39.3125,Susan Davis,Morgan Murtaugh
168,3.0,42.0,2018.0,14.125,10.875,18.5,22.5,Dwight Evans,Bryan Leib
169,3.0,29.0,2018.0,35.8125,27.3125,4.8125,0.0,Katy Geppert,Blaine Luetkemeyer
170,7.0,55.0,2018.0,29.5625,39.3125,12.9375,11.625,Margaret Engebretson,Sean Duffy
171,17.0,6.0,2018.0,23.0,20.125,0.0,0.0,A4m$2dkW0*21&zpM,Ron Cohen
172,2.0,45.0,2018.0,33.9375,25.0,6.6875,32.25,Sean Carrigan,Joe Wilson
173,3.0,54.0,2018.0,27.8125,31.6875,29.4375,63.125,Richard Ojeda,Carol Miller
174,8.0,4.0,2018.0,29.5625,38.6875,35.0625,38.8125,Hiral Tipirneni,Debbie Lesko
175,3.0,47.0,2018.0,23.1875,20.625,10.5625,24.5,Danielle Mitchell,Chuck Fleischmann
176,4.0,34.0,2018.0,27.3125,41.25,0.0,2.25,Joshua Welle,Chris Smith
177,22.0,36.0,2018.0,39.25,57.75,26.9375,33.125,Anthony Brindisi,Claudia Tenney
178,26.0,12.0,2018.0,33.8125,46.25,22.6875,36.0,Debbie Mucarsel-Powell,Carlos Curbelo
179,34.0,48.0,2018.0,13.125,21.5,15.5,12.5,Filemon Vela,Rey Gonzalez
180,5.0,34.0,2018.0,8.0625,13.375,23.9375,26.0,Josh Gottheimer,John McCann
181,4.0,4.0,2018.0,25.0,12.5625,17.6875,8.6875,David Brill,Paul Gosar
182,8.0,48.0,2018.0,31.1875,47.4375,31.5,28.8125,Steven David,Kevin Brady
183,8.0,6.0,2018.0,16.8125,48.0625,0.0,0.0,A4m$2dkW0*21&zpM,Tim Donnelly
184,3.0,36.0,2018.0,9.625,23.75,13.9375,13.375,Thomas Suozzi,Dan DeBono
185,13.0,48.0,2018.0,14.8125,20.1875,0.0,16.375,Greg Sagan,Mac Thornberry
186,11.0,42.0,2018.0,13.0,19.8125,40.6875,45.625,Jess King,Lloyd Smucker
187,8.0,13.0,2018.0,17.9375,47.5625,0.0,0.0,A4m$2dkW0*21&zpM,Austin Scott
188,6.0,25.0,2018.0,4.75,4.5,23.125,36.9375,Seth Moulton,Joseph Schneider
189,38.0,6.0,2018.0,0.0,19.5625,0.0,0.0,Linda Sánchez,Ryan Downing
190,23.0,48.0,2018.0,28.625,50.625,61.5625,61.5625,Gina Jones,Will Hurd
191,4.0,42.0,2018.0,38.875,28.5625,19.9375,30.0,Madeleine Dean,Dan David
192,5.0,55.0,2018.0,0.0,6.1875,16.0625,21.0625,Tom Palzewicz,James Sensenbrenner
193,6.0,34.0,2018.0,0.0,2.0625,20.0,25.3125,Frank Pallone,Richard Pezzullo
194,12.0,26.0,2018.0,8.0625,17.0,38.4375,27.875,Debbie Dingell,Jeff Jones
195,14.0,17.0,2018.0,11.0,26.6875,40.75,72.9375,Lauren Underwood,Randy Hultgren
196,8.0,39.0,2018.0,17.125,19.25,6.8125,23.875,Vanessa Enoch,Warren Davidson
197,20.0,48.0,2018.0,0.0,0.0,25.875,55.375,Joaquin Castro,A4m$2dkW0*21&zpM
198,20.0,6.0,2018.0,0.0,0.0,18.75,53.0,Jimmy Panetta,A4m$2dkW0*21&zpM
199,4.0,55.0,2018.0,2.5,17.5,17.4375,21.875,Gwen Moore,Tim Rogers
200,27.0,36.0,2018.0,42.5625,47.5,32.8125,42.875,Nate McMurray,Chris Collins
201,5.0,4.0,2018.0,13.3125,50.25,13.1875,45.375,Joan Greene,Andy Biggs
202,2.0,53.0,2018.0,0.0,0.0,16.4375,42.75,Rick Larsen,A4m$2dkW0*21&zpM
203,4.0,45.0,2018.0,14.0,23.0625,24.4375,28.375,Brandon Brown,William Timmons
204,6.0,1.0,2018.0,21.9375,22.4375,6.25,26.4375,Danner Kline,Gary Palmer
205,7.0,48.0,2018.0,33.625,44.9375,40.6875,46.875,Lizzie Fletcher,John Culberson
206,4.0,20.0,2018.0,22.25,30.125,23.625,37.75,James Thompson,Ron Estes
207,4.0,47.0,2018.0,18.4375,25.0625,29.3125,37.375,Mariah Phillips,Scott DesJarlais
208,4.0,25.0,2018.0,0.0,0.0,30.75,33.0625,Joseph Kennedy,A4m$2dkW0*21&zpM
209,35.0,6.0,2018.0,12.625,3.75,22.6875,22.5,Norma Torres,Christian Valiente
210,2.0,49.0,2018.0,23.5,33.375,12.0,31.3125,Shireen Ghorbani,Chris Stewart
211,3.0,20.0,2018.0,20.0,30.0,34.125,51.5625,Sharice Davids,Kevin Yoder
212,0.0,38.0,2018.0,15.25,32.25,7.875,16.75,Mac Schneider,Kelly Armstrong
213,14.0,36.0,2018.0,4.0625,9.125,48.125,43.625,Alexandria Ocasio-Cortez,Anthony Pappas
214,8.0,24.0,2018.0,22.9375,31.8125,17.0,26.625,Jamie Raskin,John Walsh
215,7.0,12.0,2018.0,34.625,39.9375,38.3125,43.6875,Stephanie Murphy,Mike Miller
216,2.0,24.0,2018.0,8.8125,18.5,0.0,0.0,A. Dutch Ruppersberger,Liz Matory
217,11.0,48.0,2018.0,0.0,16.5,6.1875,27.0,Jennie Leeder,Michael Conaway
218,9.0,13.0,2018.0,7.875,22.375,10.625,8.0,Josh McCall,Doug Collins
219,3.0,55.0,2018.0,7.8125,13.9375,16.9375,31.3125,Ron Kind,Steve Toft
220,18.0,42.0,2018.0,0.0,0.0,17.8125,44.0,Mike Doyle,A4m$2dkW0*21&zpM
221,7.0,1.0,2018.0,0.0,0.0,30.5625,21.4375,Terri Sewell,A4m$2dkW0*21&zpM
222,1.0,18.0,2018.0,5.875,9.125,0.0,0.0,Peter Visclosky,Mark Leyva
223,9.0,51.0,2018.0,27.875,38.125,21.75,31.75,Anthony Flaccavento,Morgan Griffith
224,22.0,12.0,2018.0,8.25,23.5625,33.0625,28.125,Ted Deutch,Nicolas Kimaz
225,10.0,51.0,2018.0,43.375,59.25,47.9375,63.125,Jennifer Wexton,Barbara Comstock
226,8.0,53.0,2018.0,24.8125,41.9375,25.25,32.625,Kim Schrier,Dino Rossi
227,5.0,53.0,2018.0,33.0625,43.0625,47.8125,59.5,Lisa Brown,Cathy Rodgers
228,2.0,9.0,2018.0,6.125,8.3125,17.3125,26.25,Joe Courtney,Dan Postemski
229,2.0,48.0,2018.0,24.375,54.75,12.8125,34.4375,Todd Litton,Dan Crenshaw
230,8.0,17.0,2018.0,8.5625,4.3125,24.25,45.9375,Raja Krishnamoorthi,Jitendra Diganvker
231,3.0,34.0,2018.0,13.875,35.5,43.5625,53.625,Andy Kim,Tom MacArthur
232,10.0,6.0,2018.0,18.75,22.8125,42.6875,65.3125,Josh Harder,Jeff Denham
233,40.0,6.0,2018.0,0.0,0.0,12.5625,23.125,Lucille Roybal-Allard,A4m$2dkW0*21&zpM
234,30.0,48.0,2018.0,0.0,0.0,32.25,24.0625,Eddie Johnson,A4m$2dkW0*21&zpM
235,10.0,36.0,2018.0,15.0,20.5,13.625,35.0625,Jerrold Nadler,Naomi Levin
236,19.0,48.0,2018.0,20.6875,24.0625,2.5,19.6875,Miguel Levario,Jodey Arrington
237,33.0,6.0,2018.0,7.5,7.375,34.0625,42.6875,Ted Lieu,Kenneth Wright
238,2.0,15.0,2018.0,5.6875,14.5,28.8125,37.4375,Tulsi Gabbard,Brian Evans
239,19.0,12.0,2018.0,25.0,24.9375,20.0,34.9375,David Holden,Francis Rooney
240,3.0,17.0,2018.0,16.25,17.75,0.0,7.0,Daniel Lipinski,Arthur Jones
241,5.0,17.0,2018.0,15.6875,16.375,16.375,36.5625,Mike Quigley,Tom Hanson
242,5.0,37.0,2018.0,36.75,34.375,0.0,0.0,A4m$2dkW0*21&zpM,Virginia Foxx
243,1.0,17.0,2018.0,3.0625,12.6875,29.6875,34.625,Bobby Rush,Jimmy Tillman
244,0.0,46.0,2018.0,16.125,38.75,14.9375,15.3125,Tim Bjorkman,Dusty Johnson
245,5.0,13.0,2018.0,0.0,0.0,23.8125,34.5,John Lewis,A4m$2dkW0*21&zpM
246,3.0,4.0,2018.0,5.9375,8.8125,20.5,39.25,Raul Grijalva,Nick Pierson
247,10.0,34.0,2018.0,2.9375,21.375,26.5625,40.3125,Donald Payne,Agha Khan
248,1.0,1.0,2018.0,11.9375,15.125,15.3125,25.125,Robert Kennedy,Bradley Byrne
249,15.0,6.0,2018.0,2.6875,8.9375,23.6875,41.4375,Eric Swalwell,Rudy Peters
250,5.0,8.0,2018.0,5.4375,23.875,10.0625,38.1875,Stephany Spaulding,Doug Lamborn
251,2.0,47.0,2018.0,17.25,32.875,19.375,23.0,Renee Hoyos,Tim Burchett
252,5.0,6.0,2018.0,0.0,0.0,52.375,52.8125,Mike Thompson,A4m$2dkW0*21&zpM
253,21.0,6.0,2018.0,35.3125,31.625,0.0,0.0,A4m$2dkW0*21&zpM,David Valadao
254,1.0,19.0,2018.0,32.875,30.875,43.1875,60.75,Abby Finkenauer,Rod Blum
255,13.0,6.0,2018.0,0.0,0.0,32.1875,50.9375,Barbara Lee,A4m$2dkW0*21&zpM
256,12.0,42.0,2018.0,19.4375,26.0625,22.6875,19.625,Marc Friedenberg,Tom Marino
257,26.0,48.0,2018.0,27.3125,28.3125,10.4375,33.3125,Linsey Fagan,Michael Burgess
258,6.0,37.0,2018.0,21.8125,37.625,22.125,33.1875,Ryan Watts,Mark Walker
259,1.0,47.0,2018.0,25.125,35.125,6.0,14.25,Marty Olsen,Phil Roe
260,4.0,8.0,2018.0,18.4375,36.0625,9.8125,40.1875,Karen McCormick,Ken Buck
261,8.0,47.0,2018.0,12.9375,32.8125,6.0625,28.75,Erika Pearson,David Kustoff
262,6.0,22.0,2018.0,13.0625,22.0625,9.9375,26.0625,Andie Saizan,Garrett Graves
263,29.0,48.0,2018.0,2.9375,5.5,15.625,24.25,Sylvia Garcia,Phillip Aronoff
264,15.0,12.0,2018.0,6.25,15.3125,16.1875,27.125,Kristen Carlson,Ross Spano
265,3.0,53.0,2018.0,17.5,32.625,36.75,48.4375,Carolyn Long,Jaime Beutler
266,6.0,27.0,2018.0,15.875,24.8125,17.125,19.5625,Ian Todd,Tom Emmer
267,13.0,42.0,2018.0,35.375,25.9375,12.625,15.9375,Brent Ottaway,John Joyce
268,1.0,48.0,2018.0,8.0625,12.3125,3.125,1.1875,Shirley McKellar,Louie Gohmert
269,10.0,17.0,2018.0,21.0625,11.5625,0.0,0.0,Bradley Schneider,Douglas Bennett
270,1.0,16.0,2018.0,16.5,52.5,5.4375,15.125,Cristina McNeil,Russ Fulcher
271,14.0,12.0,2018.0,0.0,0.0,19.1875,28.625,Kathy Castor,A4m$2dkW0*21&zpM
272,17.0,36.0,2018.0,0.0,0.0,36.875,40.75,Nita Lowey,A4m$2dkW0*21&zpM
273,2.0,32.0,2018.0,15.25,41.375,21.625,42.125,Clint Koble,Mark Amodei
274,7.0,18.0,2018.0,19.5625,0.0,0.0,0.0,André Carson,Wayne Harmon
