,congressional_district,minority_percentage,year,candidates
81,"Congressional District 2 (110th Congress), Connecticut",0.11595,2008,"Joe Courtney (Democratic), Sean Sullivan (Republican), Scott Deshefy (Green)"
82,"Congressional District 3 (110th Congress), Connecticut",0.22722,2008,"Rosa DeLauro (Democratic), Bo Itshaky (Republican), Ralph Ferrucci (Green)"
83,"Congressional District 4 (110th Congress), Connecticut",0.22195,2008,"Jim Himes (Democratic), Chris Shays (Republican), Michael Carrano (Libertarian),  Richard Duffee (Green)"
84,"Congressional District 5 (110th Congress), Connecticut",0.15467,2008,"Chris Murphy (Democratic), David Cappiello (Republican), Harold Burbank (Green), Thomas Winn (Independent)"
85,"Congressional District (at Large) (110th Congress), Delaware",0.27272,2008,"Michael Castle (Republican), Karen Hartley-Nagle (Democratic), Mark Anthony Parks (Libertarian)"
86,"Congressional District 1 (110th Congress), Florida",0.21725,2008,"Jeff Miller (Republican), James Jim Bryan (Democratic)"
87,"Congressional District 2 (110th Congress), Florida",0.27588,2008,"Allen Boyd (Democratic), Mark Mulligan (Republican)"
88,"Congressional District 3 (110th Congress), Florida",0.60631,2008,Corrine Brown (Democratic)
89,"Congressional District 4 (110th Congress), Florida",0.2168,2008,"Ander Crenshaw (Republican), Jay McGovern (Democratic)"
90,"Congressional District 5 (110th Congress), Florida",0.11771,2008,"Ginny Brown-Waite (Republican), John Russell (Democratic)"
91,"Congressional District 6 (110th Congress), Florida",0.2113,2008,"Cliff Stearns (Republican), Tim Cunha (Democratic)"
92,"Congressional District 7 (110th Congress), Florida",0.15861,2008,"John Mica (Republican), Faye Armitage (Democratic)"
93,"Congressional District 8 (110th Congress), Florida",0.23036,2008,"Alan Grayson (Democratic), Ric Keller (Republican)"
94,"Congressional District 9 (110th Congress), Florida",0.1163,2008,"Gus Bilirakis (Republican), Bill Mitchell (Democratic), John Kalimnios (Independent), Richard Emmons (Term"
95,"Congressional District 10 (110th Congress), Florida",0.11706,2008,"Bill Young (Republican), Bob Hackworth (Democratic)"
96,"Congressional District 11 (110th Congress), Florida",0.34477,2008,"Kathy Castor (Democratic), Eddie Adams (Republican)"
97,"Congressional District 12 (110th Congress), Florida",0.21825,2008,"Adam Putnam (Republican), Doug Tudor (Democratic)"
98,"Congressional District 13 (110th Congress), Florida",0.10288,2008,"Vern Buchanan (Republican), Christine Jennings (Democratic), Jan Schneider (Independent), Don Baldauf (Independent)"
99,"Congressional District 14 (110th Congress), Florida",0.12614,2008,"Connie Mack (Republican), Robert Neeld (Democratic), Burt Saunders (Independent), Jeff George (Independent)"
100,"Congressional District 15 (110th Congress), Florida",0.17367,2008,"Bill Posey (Republican), Stephen Blythe (Democratic), Frank Zilaitis (Independent), Trevor Lowing (Independent)"
101,"Congressional District 16 (110th Congress), Florida",0.14825,2008,"Tom Rooney (Republican), Tim Mahoney (Democratic)"
102,"Congressional District 17 (110th Congress), Florida",0.64619,2008,Kendrick Meek (Democratic)
103,"Congressional District 18 (110th Congress), Florida",0.11846,2008,"Ileana Ros-Lehtinen (Republican), Annette Taddeo (Democratic)"
104,"Congressional District 19 (110th Congress), Florida",0.19612,2008,"Robert Wexler (Democratic), Edward Lynch (Republican), Ben Graber (Independent)"
105,"Congressional District 20 (110th Congress), Florida",0.1977,2008,"Debbie Wasserman Schultz (Democratic), Margaret Hostetter (Independent)"
106,"Congressional District 21 (110th Congress), Florida",0.14961,2008,"Lincoln Diaz-Balart (Republican), Raul Martinez (Democratic)"
107,"Congressional District 22 (110th Congress), Florida",0.12295,2008,"Ron Klein (Democratic), Allen West (Republican)"
108,"Congressional District 23 (110th Congress), Florida",0.62496,2008,"Alcee Hastings (Democratic), Marion Thorpe (Republican)"
109,"Congressional District 24 (110th Congress), Florida",0.16856,2008,"Suzanne Kosmas (Democratic), Tom Feeney (Republican), Gaurav Bhola (Independent)"
110,"Congressional District 25 (110th Congress), Florida",0.16528,2008,"Mario Diaz-Balart (Republican), Joe Garcia (Democratic)"
111,"Congressional District 1 (110th Congress), Georgia",0.30025,2008,"Jack Kingston (Republican), Bill Gillespie (Democratic)"
112,"Congressional District 2 (110th Congress), Georgia",0.52146,2008,"Sanford Bishop (Democratic), Lee Ferrell (Republican)"
113,"Congressional District 3 (110th Congress), Georgia",0.28259,2008,"Lynn Westmoreland (Republican), Stephen Camp (Democratic)"
114,"Congressional District 4 (110th Congress), Georgia",0.69847,2008,"Hank Johnson (Democratic), Loren Christopher Collins (Write-In)"
115,"Congressional District 5 (110th Congress), Georgia",0.58829,2008,John Lewis (Democratic)
116,"Congressional District 6 (110th Congress), Georgia",0.20619,2008,"Tom Price (Republican), Bill Jones (Democratic)"
117,"Congressional District 7 (110th Congress), Georgia",0.36967,2008,"John Linder (Republican), Doug Heckman (Democratic)"
118,"Congressional District 8 (110th Congress), Georgia",0.38075,2008,"Jim Marshall (Democratic), Rick Goddard (Republican)"
119,"Congressional District 9 (110th Congress), Georgia",0.11334,2008,"Nathan Deal (Republican), Jeff Scott (Democratic)"
120,"Congressional District 10 (110th Congress), Georgia",0.2298,2008,"Paul Broun (Republican), Bobby Saxon (Democratic)"
121,"Congressional District 11 (110th Congress), Georgia",0.2254,2008,"Phil Gingrey (Republican), Hugh Gammon (Democratic)"
122,"Congressional District 12 (110th Congress), Georgia",0.48227,2008,"John Barrow (Democratic), John Stone (Republican)"
123,"Congressional District 13 (110th Congress), Georgia",0.65351,2008,"David Scott (Democratic), Deborah Honeycutt (Republican)"
124,"Congressional District 1 (110th Congress), Hawaii",0.7987,2008,"Neil Abercrombie (Democratic), Steve Tataii (Republican), Li Zhao (Libertarian)"
125,"Congressional District 2 (110th Congress), Hawaii",0.66061,2008,"Mazie Hirono (Democratic), Roger B. Evans (Republican), Shaun Stenshol (Independent), Jeff Mallan (Libertarian)"
126,"Congressional District 1 (110th Congress), Idaho",0.07125,2008,"Walt Minnick (Democratic), Bill Sali (Republican)"
127,"Congressional District 2 (110th Congress), Idaho",0.07491,2008,"Mike Simpson (Republican), Debbie Holmes (Democratic)"
128,"Congressional District 1 (110th Congress), Illinois",0.6887,2008,"Bobby Rush (Democratic), Antoine Members (Republican)"
129,"Congressional District 2 (110th Congress), Illinois",0.73488,2008,"Jesse Jackson Jr. (Democratic), Anthony Williams (Republican)"
130,"Congressional District 3 (110th Congress), Illinois",0.28027,2008,"Dan Lipinski (Democratic), Michael Hawkins (Republican), Jerome Pohlen (Green)"
131,"Congressional District 4 (110th Congress), Illinois",0.44463,2008,"Luis Gutiérrez (Democratic), Daniel Cunningham (Republican), Omar Lopez (Green)"
132,"Congressional District 5 (110th Congress), Illinois",0.28758,2008,"Rahm Emanuel (Democratic), Tom Hanson (Republican), Alan Augustson (Green)"
133,"Congressional District 6 (110th Congress), Illinois",0.21841,2008,"Peter Roskam (Republican), Jill Morgenthaler (Democratic)"
134,"Congressional District 7 (110th Congress), Illinois",0.64746,2008,"Danny Davis (Democratic), Steve Miller (Republican)"
135,"Congressional District 8 (110th Congress), Illinois",0.19112,2008,"Melissa Bean (Democratic), Steve Greenberg (Republican)"
136,"Congressional District 9 (110th Congress), Illinois",0.32444,2008,"Jan Schakowsky (Democratic), Michael Younan (Republican), Morris Shanfield (Green)"
137,"Congressional District 10 (110th Congress), Illinois",0.21631,2008,"Mark Kirk (Republican), Daniel Seals (Democratic)"
138,"Congressional District 11 (110th Congress), Illinois",0.14974,2008,"Debbie Halvorson (Democratic), Marty Ozinga (Republican), Jason Wallace (Green)"
139,"Congressional District 12 (110th Congress), Illinois",0.19723,2008,"Jerry Costello (Democratic), Tim Richardson (Republican), Rodger Jennings (Green)"
140,"Congressional District 13 (110th Congress), Illinois",0.20533,2008,"Judy Biggert (Republican), Scott Harper (Democratic), Steve Alesch (Green)"
141,"Congressional District 14 (110th Congress), Illinois",0.19692,2008,"Bill Foster (Democratic), Jim Oberweis (Republican)"
142,"Congressional District 15 (110th Congress), Illinois",0.12624,2008,"Tim Johnson (Republican), Steve Cox (Democratic)"
143,"Congressional District 16 (110th Congress), Illinois",0.11902,2008,"Donald Manzullo (Republican), Bob Abboud (Democratic), Scott Summers (Green)"
144,"Congressional District 17 (110th Congress), Illinois",0.12488,2008,Phil Hare (Democratic)
145,"Congressional District 18 (110th Congress), Illinois",0.11502,2008,"Aaron Schock (Republican), Colleen Callahan (Democratic), Sheldon Schafer (Green)"
146,"Congressional District 19 (110th Congress), Illinois",0.06513,2008,"John Shimkus (Republican), Daniel Davis (Democratic), Troy Dennis (Green)"
147,"Congressional District 1 (110th Congress), Indiana",0.27588,2008,"Pete Visclosky (Democratic), Mark Leyva (Republican), Jeff Duensing (Libertarian)"
148,"Congressional District 2 (110th Congress), Indiana",0.15664,2008,"Joe Donnelly (Democratic), Luke Puckett (Republican), Mark Vogel (Libertarian)"
149,"Congressional District 3 (110th Congress), Indiana",0.12302,2008,"Mark Souder (Republican), Mike Montagano (Democratic),  William Larsen (Libertarian)"
150,"Congressional District 4 (110th Congress), Indiana",0.07732,2008,"Steve Buyer (Republican), Nels Ackerson (Democratic)"
151,"Congressional District 5 (110th Congress), Indiana",0.08351,2008,"Dan Burton (Republican), Mary Etta Ruley (Democratic)"
152,"Congressional District 6 (110th Congress), Indiana",0.06992,2008,"Mike Pence (Republican), Barry Welsh (Democratic), George Holland (Libertarian)"
153,"Congressional District 7 (110th Congress), Indiana",0.39734,2008,"André Carson (Democratic), Gabrielle Campo (Republican)"
154,"Congressional District 8 (110th Congress), Indiana",0.06851,2008,"Brad Ellsworth (Democratic), Greg Goode (Republican)"
155,"Congressional District 9 (110th Congress), Indiana",0.06161,2008,"Baron Hill (Democratic), Mike Sodrel (Republican), D. Eric Schansberg (Libertarian)"
156,"Congressional District 1 (110th Congress), Iowa",0.07926,2008,"Bruce Braley (Democratic), David Hartsuch (Republican)"
157,"Congressional District 2 (110th Congress), Iowa",0.07568,2008,"David Loebsack (Democratic), Mariannette Miller-Meeks (Republican), Wendy Barth (Green), Brian White (Independent)"
158,"Congressional District 3 (110th Congress), Iowa",0.0994,2008,"Leonard Boswell (Democratic),  Kim Schmett (Republican),  Frank Forrestal (Socialist"
159,"Congressional District 4 (110th Congress), Iowa",0.05262,2008,"Tom Latham (Republican), Becky Greenwald (Democratic)"
160,"Congressional District 5 (110th Congress), Iowa",0.05577,2008,"Steve King (Republican), Rob Hubler (Democratic), Victor Vara (Independent)"
161,"Congressional District 1 (110th Congress), Kansas",0.07085,2008,"Jerry Moran (Republican), James Bordonaro (Democratic),  Kathleen Burton (Reform),  Jack Warner (Libertarian)"
162,"Congressional District 2 (110th Congress), Kansas",0.11922,2008,"Lynn Jenkins (Republican), Nancy Boyda (Democratic), Leslie Martin (Reform),  Robert Garrard (Libertarian)"
163,"Congressional District 3 (110th Congress), Kansas",0.17817,2008,"Dennis Moore (Democratic), Nick Jordan (Republican), Joe Bellis (Libertarian), Roger Tucker (Reform)"
164,"Congressional District 4 (110th Congress), Kansas",0.17421,2008,"Todd Tiahrt (Republican), Donald Betts Jr. (Democratic), Susan Ducey (Reform), Steve Rosile (Libertarian)"
165,"Congressional District 1 (110th Congress), Kentucky",0.09972,2008,"Ed Whitfield (Republican), Heather Ryan (Democratic)"
166,"Congressional District 2 (110th Congress), Kentucky",0.08735,2008,"Brett Guthrie (Republican), David Boswell (Democratic)"
167,"Congressional District 3 (110th Congress), Kentucky",0.25492,2008,"John Yarmuth (Democratic), Anne Northup (Republican)"
168,"Congressional District 4 (110th Congress), Kentucky",0.05652,2008,"Geoff Davis (Republican), Michael Kelly (Democratic)"
169,"Congressional District 5 (110th Congress), Kentucky",0.02785,2008,"Hal Rogers (Republican), Jim Holbert (Independent)"
170,"Congressional District 6 (110th Congress), Kentucky",0.13097,2008,"Ben Chandler (Democratic), Jon Larson (Republican)"
171,"Congressional District 1 (110th Congress), Louisiana",0.20893,2008,"Steve Scalise (Republican), Jim Harlan (Democratic)"
172,"Congressional District 2 (110th Congress), Louisiana",0.65694,2008,"Joseph Cao (Republican), Bill Jefferson (Democratic), Malik Rahim (Green), Gregory Kahn (Libertarian)"
173,"Congressional District 3 (110th Congress), Louisiana",0.31931,2008,Charlie Melancon (Democratic)
174,"Congressional District 4 (110th Congress), Louisiana",0.37779,2008,"John Fleming (Republican), Paul Carmouche (Democratic), Chester T. Kelly (Independent), Gerard Bowen Jr. (Independent)"
175,"Congressional District 5 (110th Congress), Louisiana",0.36556,2008,Rodney Alexander (Republican)
176,"Congressional District 6 (110th Congress), Louisiana",0.38393,2008,"Bill Cassidy (Republican), Don Cazayoux (Democratic), Michael Jackson (Independent)"
177,"Congressional District 7 (110th Congress), Louisiana",0.2901,2008,"Charles Boustany (Republican), Don Cravins Jr. (Democratic), Peter Vidrine (Constitution)"
178,"Congressional District 1 (110th Congress), Maine",0.04547,2008,"Chellie Pingree (Democratic), Charlie Summers (Republican)"
179,"Congressional District 2 (110th Congress), Maine",0.03825,2008,"Mike Michaud (Democratic), John Frary (Republican)"
180,"Congressional District 1 (110th Congress), Maryland",0.15487,2008,"Frank Kratovil (Democratic), Andy Harris (Republican), Richard James Davis (Libertarian)"
181,"Congressional District 2 (110th Congress), Maryland",0.39583,2008,"Dutch Ruppersberger (Democratic), Richard Matthews (Republican), Lorenzo Gaztanaga (Libertarian)"
182,"Congressional District 3 (110th Congress), Maryland",0.27352,2008,"John Sarbanes (Democratic), Tom Harris (Republican)"
183,"Congressional District 4 (110th Congress), Maryland",0.70272,2008,"Donna Edwards (Democratic), Peter James (Republican), Thibeaux Lincecum (Libertarian)"
184,"Congressional District 5 (110th Congress), Maryland",0.44237,2008,"Steny Hoyer (Democratic), Collins Bailey (Republican), Darlene H. Nicholas (Libertarian)"
185,"Congressional District 6 (110th Congress), Maryland",0.1168,2008,"Roscoe Bartlett (Republican), Jennifer Dougherty (Democratic), Gary Hoover (Libertarian)"
186,"Congressional District 7 (110th Congress), Maryland",0.65456,2008,"Elijah Cummings (Democratic), Michael Hargadon (Republican), Ronald M. Owens-Bey (Libertarian)"
187,"Congressional District 8 (110th Congress), Maryland",0.40146,2008,"Chris Van Hollen Jr. (Democratic), Steve Hudson (Republican), Gordon Clark (Green), Ian Thomas (Libertarian)"
188,"Congressional District 1 (110th Congress), Massachusetts",0.07313,2008,"John Olver (Democratic), Nate Bech (Republican)"
189,"Congressional District 2 (110th Congress), Massachusetts",0.16645,2008,Richard Neal (Democratic)
190,"Congressional District 3 (110th Congress), Massachusetts",0.12515,2008,Jim McGovern (Democratic)
191,"Congressional District 4 (110th Congress), Massachusetts",0.12025,2008,"Barney Frank (Democratic), Earl Sholley (Republican), Susan Allen (Independent)"
192,"Congressional District 5 (110th Congress), Massachusetts",0.22652,2008,Niki Tsongas (Democratic)
193,"Congressional District 6 (110th Congress), Massachusetts",0.10642,2008,"John Tierney (Democratic), Richard Baker (Republican)"
194,"Congressional District 7 (110th Congress), Massachusetts",0.177,2008,"Ed Markey (Democratic), John Cunningham (Republican)"
195,"Congressional District 8 (110th Congress), Massachusetts",0.44568,2008,Mike Capuano (Democratic)
196,"Congressional District 9 (110th Congress), Massachusetts",0.21825,2008,Stephen Lynch (Democratic)
197,"Congressional District 10 (110th Congress), Massachusetts",0.08584,2008,Bill Delahunt (Democratic)
198,"Congressional District 1 (110th Congress), Michigan",0.06563,2008,"Bart Stupak (Democratic), Tom Casperson (Republican), Jean Marie Treacy (Green), Dan Grow (Libertarian), Joshua Warren (United"
199,"Congressional District 2 (110th Congress), Michigan",0.11774,2008,"Pete Hoekstra (Republican), Fred Johnson (Democratic), Dan Johnson (Libertarian), Ron Graeser (United"
200,"Congressional District 3 (110th Congress), Michigan",0.16565,2008,"Vern Ehlers (Republican), Henry Sanchez (Democratic), Erwin Haas (Libertarian)"
201,"Congressional District 4 (110th Congress), Michigan",0.069,2008,"Dave Camp (Republican), Andrew Concannon (Democratic), John Emerick (United,  Allitta Hren (Libertarian)"
202,"Congressional District 5 (110th Congress), Michigan",0.21766,2008,"Dale Kildee (Democratic), Matt Sawicki (Republican), Leonard Schwartz (Libertarian), Ken Mathenia (Green)"
203,"Congressional District 6 (110th Congress), Michigan",0.1425,2008,"Fred Upton (Republican), Don Cooney (Democratic),  Greg Merle (Libertarian), Edward Pinkney (Green)"
204,"Congressional District 7 (110th Congress), Michigan",0.10283,2008,"Mark Schauer (Democratic), Tim Walberg (Republican), Lynn Meadows (Green), Ken Proctor (Libertarian)"
205,"Congressional District 8 (110th Congress), Michigan",0.10646,2008,"Mike Rogers (Republican), Robert Alexander (Democratic), Will Tyler White (Libertarian), Aaron Stuttman (Green),  George Zimmer (United"
206,"Congressional District 9 (110th Congress), Michigan",0.20797,2008,"Gary Peters (Democratic),  Joe Knollenberg (Republican), Jack Kevorkian (Independent), Adam Goodman (Libertarian), Douglas Campbell (Green)"
207,"Congressional District 10 (110th Congress), Michigan",0.07062,2008,"Candice Miller (Republican), Robert Denison (Democratic), Neil Stephenson (Libertarian), Candace Caveny (Green)"
208,"Congressional District 11 (110th Congress), Michigan",0.16014,2008,"Thad McCotter (Republican), Joseph Larkin (Democratic), John Tatar (Libertarian), Erik Shelley (Green)"
209,"Congressional District 12 (110th Congress), Michigan",0.25222,2008,"Sander Levin (Democratic), Bert Copple (Republican), John Vico (Libertarian), Les Townsend (United, William Opalicky (Green)"
