Year,District,Candidate,Incumbent
2018,California 13,Laura Wells,FALSE
2018,California 14,Cristina OsmeÃ±a,FALSE
2018,California 14,Jackie Speier,TRUE
2018,California 15,Rudy Peters,FALSE
2018,California 15,Eric Swalwell,TRUE
2018,California 16,Jim Costa,TRUE
2018,California 16,Elizabeth Heng,FALSE
2018,California 17,Ron Cohen,FALSE
2018,California 17,Ro Khanna,TRUE
2018,California 18,Anna Eshoo,TRUE
2018,California 18,Christine Russell,FALSE
2018,California 19,Justin Aguilera,FALSE
2018,California 19,Zoe Lofgren,TRUE
2018,California 20,Ronald Kabat,FALSE
2018,California 20,Jimmy Panetta,TRUE
2018,California 21,T.J. Cox,FALSE
2018,California 21,David Valadao,TRUE
2018,California 22,Andrew Janz,FALSE
2018,California 22,Devin Nunes,TRUE
2018,California 23,Tatiana Matta,FALSE
2018,California 23,Kevin McCarthy,TRUE
2018,California 24,Salud Carbajal,TRUE
2018,California 24,Justin Fareed,FALSE
2018,California 25,Katie Hill,FALSE
2018,California 25,Steve Knight,TRUE
2018,California 26,Julia Brownley,TRUE
2018,California 26,Antonio SabÃ to Jr.,FALSE
2018,California 27,Judy Chu,TRUE
2018,California 27,Bryan Witt,FALSE
2018,California 28,Johnny Nalbandian,FALSE
2018,California 28,Adam Schiff,TRUE
2018,California 29,Benito Bernal,FALSE
2018,California 29,Tony CÃ¡rdenas,TRUE
2018,California 30,Mark Reed,FALSE
2018,California 30,Brad Sherman,TRUE
2018,California 31,Pete Aguilar,TRUE
2018,California 31,Sean Flynn,FALSE
2018,California 32,Grace Napolitano,TRUE
2018,California 32,Joshua Scott,FALSE
2018,California 33,Ted Lieu,TRUE
2018,California 33,Kenneth Wright,FALSE
2018,California 34,Jimmy Gomez,TRUE
2018,California 34,Kenneth Mejia,FALSE
2018,California 35,Norma Torres,TRUE
2018,California 35,Christian Valiente,FALSE
2018,California 36,Kimberlin Brown Pelzer,FALSE
2018,California 36,Raul Ruiz,TRUE
2018,California 37,Karen Bass,TRUE
2018,California 37,Ron Bassilian,FALSE
2018,California 38,Ryan Downing,FALSE
2018,California 38,Linda SÃ¡nchez,TRUE
2018,California 39,Gil Cisneros,FALSE
2018,California 39,Young Kim,FALSE
2018,California 40,Rodolfo Barragan,FALSE
2018,California 40,Lucille Roybal-Allard,TRUE
2018,California 41,Aja Smith,FALSE
2018,California 41,Mark Takano,TRUE
2018,California 42,Ken Calvert,TRUE
2018,California 42,Julia Peacock,FALSE
2018,California 43,Omar Navarro,FALSE
2018,California 43,Maxine Waters,TRUE
2018,California 44,Nanette BarragÃ¡n,TRUE
2018,California 44,Aja Brown,FALSE
2018,California 45,Katie Porter,FALSE
2018,California 45,Mimi Walters,TRUE
2018,California 46,Lou Correa,TRUE
2018,California 46,Russell Lambert,FALSE
2018,California 47,John Briscoe,FALSE
2018,California 47,Alan Lowenthal,TRUE
2018,California 48,Harley Rouda,FALSE
2018,California 48,Dana Rohrabacher,TRUE
2018,California 49,Diane Harkey,FALSE
2018,California 49,Mike Levin,FALSE
2018,California 50,Ammar Campa-Najjar,FALSE
2018,California 50,Duncan Hunter,TRUE
2018,California 51,Juan Hidalgo Jr.,FALSE
2018,California 51,Juan Vargas,TRUE
2018,California 52,Scott Peters,TRUE
2018,California 52,Omar Qudrat,FALSE
2018,California 53,Susan Davis,TRUE
2018,California 53,Morgan Murtaugh,FALSE
2018,Colorado 1,Diana DeGette,TRUE
2018,Colorado 1,Casper Stockham,FALSE
2018,Colorado 1,Gary Swing,FALSE
2018,Colorado 2,Joe Neguse,FALSE
2018,Colorado 2,Peter Yu,FALSE
2018,Colorado 3,Mary Malarsie,FALSE
2018,Colorado 3,Diane Mitsch Bush,FALSE
2018,Colorado 3,Scott Tipton,TRUE
2018,Colorado 4,Ken Buck,TRUE
2018,Colorado 4,Karen McCormick,FALSE
2018,Colorado 5,Doug Lamborn,TRUE
2018,Colorado 5,Stephany Rose Spaulding,FALSE
2018,Colorado 6,Mike Coffman,TRUE
2018,Colorado 6,Jason Crow,FALSE
2018,Colorado 7,Mark Barrington,FALSE
2018,Colorado 7,Ed Perlmutter,TRUE
2018,Connecticut 1,John Larson,TRUE
2018,Connecticut 1,Jennifer Nye,FALSE
2018,Connecticut 2,Joe Courtney,TRUE
2018,Connecticut 2,Danny Postemski,FALSE
2018,Connecticut 3,Angel Cadena,FALSE
2018,Connecticut 3,Rosa DeLauro,TRUE
2018,Connecticut 4,Harry Arora,FALSE
2018,Connecticut 4,Jim Himes,TRUE
2018,Connecticut 5,Jahana Hayes,FALSE
2018,Connecticut 5,Manny Santos,FALSE
2018,Delaware at-large,Lisa Blunt Rochester,TRUE
2018,Delaware at-large,Scott Walker,FALSE
2018,Florida 1,Matt Gaetz,TRUE
2018,Florida 1,Jennifer Zimmerman,FALSE
2018,Florida 2,Neal Dunn,TRUE
2018,Florida 2,Bob Rackleff,FALSE
2018,Florida 3,Yvonne Hayes Hinson,FALSE
2018,Florida 3,Ted Yoho,TRUE
2018,Florida 4,Joceline Berrios,FALSE
2018,Florida 4,Jason Bulger,FALSE
2018,Florida 4,John Rutherford,TRUE
2018,Florida 4,Ges Selmont,FALSE
2018,Florida 5,Virginia Fuller,FALSE
2018,Florida 5,Al Lawson,TRUE
2018,Florida 6,Nancy Soderberg,FALSE
2018,Florida 6,Michael Waltz,FALSE
2018,Florida 7,Mike Miller,FALSE
2018,Florida 7,Stephanie Murphy,TRUE
2018,Florida 8,Sanjay Patel,FALSE
2018,Florida 8,Bill Posey,TRUE
2018,Florida 9,Wayne Liebnitzky,FALSE
2018,Florida 9,Darren Soto,TRUE
2018,Florida 10,Val Demings,TRUE
2018,Florida 11,Dana Cottrell,FALSE
2018,Florida 11,Daniel Webster,TRUE
2018,Florida 12,Gus Bilirakis,TRUE
2018,Florida 12,Chris Hunter,FALSE
2018,Florida 12,Angelika Purkis,FALSE
2018,Florida 13,George Buck,FALSE
2018,Florida 13,Charlie Crist,TRUE
2018,Florida 14,Kathy Castor,TRUE
2018,Florida 15,Kristen Carlson,FALSE
2018,Florida 15,Ross Spano,FALSE
2018,Florida 16,Vern Buchanan,TRUE
2018,Florida 16,David Shapiro,FALSE
2018,Florida 17,April Freeman,FALSE
2018,Florida 17,Greg Steube,FALSE
2018,Florida 18,Lauren Baer,FALSE
2018,Florida 18,Brian Mast,TRUE
2018,Florida 19,David Holden,FALSE
2018,Florida 19,Francis Rooney,TRUE
2018,Florida 20,Alcee Hastings,TRUE
2018,Florida 21,Lois Frankel,TRUE
2018,Florida 22,Ted Deutch,TRUE
2018,Florida 22,Nicolas Kimaz,FALSE
2018,Florida 23,Tim Canova,FALSE
2018,Florida 23,Don Endriss,FALSE
2018,Florida 23,Joseph Kaufman,FALSE
2018,Florida 23,Debbie Wasserman Schultz,TRUE
2018,Florida 24,Frederica Wilson,TRUE
2018,Florida 25,Mary Barzee Flores,FALSE
2018,Florida 25,Mario DÃ­az-Balart,TRUE
2018,Florida 26,Carlos Curbelo,TRUE
2018,Florida 26,Debbie Mucarsel-Powell,FALSE
2018,Florida 27,Mayra Joli,FALSE
2018,Florida 27,Maria Elvira Salazar,FALSE
2018,Florida 27,Donna Shalala,FALSE
2018,Georgia 1,Buddy Carter,TRUE
2018,Georgia 1,Lisa Ring,FALSE
2018,Georgia 2,Sanford Bishop,TRUE
2018,Georgia 2,Herman West,FALSE
2018,Georgia 3,Chuck Enderlin,FALSE
2018,Georgia 3,Drew Ferguson,TRUE
2018,Georgia 4,Hank Johnson,TRUE
2018,Georgia 4,Joe Profit,FALSE
2018,Georgia 5,John Lewis,TRUE
2018,Georgia 6,Karen Handel,TRUE
2018,Georgia 6,Lucy McBath,FALSE
2018,Georgia 6,"Jeremy ""Carlton Heston"" Stubbs",FALSE
2018,Georgia 7,Carolyn Bourdeaux,FALSE
2018,Georgia 7,Rob Woodall,TRUE
2018,Georgia 8,Austin Scott,TRUE
2018,Georgia 9,Doug Collins,TRUE
2018,Georgia 9,Robin Gilmer,FALSE
2018,Georgia 9,Josh McCall,FALSE
2018,Georgia 10,Jody Hice,TRUE
2018,Georgia 10,Tabitha Johnson-Green,FALSE
2018,Georgia 11,Flynn Broady,FALSE
2018,Georgia 11,Barry Loudermilk,TRUE
2018,Georgia 12,Rick Allen,TRUE
2018,Georgia 12,Francys Johnson,FALSE
2018,Georgia 13,David Callahan,FALSE
2018,Georgia 13,Martin Cowen,FALSE
2018,Georgia 13,David Scott,TRUE
2018,Georgia 14,Steve Foster,FALSE
2018,Georgia 14,Tom Graves,TRUE
2018,Hawaii 1,Zachary Burd,FALSE
2018,Hawaii 1,Ed Case,FALSE
2018,Hawaii 1,Campbell Cavasso,FALSE
2018,Hawaii 1,Calvin Griffin,FALSE
2018,Hawaii 1,Michelle Tippens,FALSE
2018,Hawaii 2,Brian Evans,FALSE
2018,Hawaii 2,Tulsi Gabbard,TRUE
2018,Idaho 1,Russ Fulcher,FALSE
2018,Idaho 1,Scott Howard,FALSE
2018,Idaho 1,Cristina McNeil,FALSE
2018,Idaho 2,Mike Simpson,TRUE
2018,Idaho 2,Aaron Swisher,FALSE
2018,Illinois 1,Bobby Rush,TRUE
2018,Illinois 1,Jimmy Tillman,FALSE
2018,Illinois 2,Robin Kelly,TRUE
2018,Illinois 2,David Merkle,FALSE
2018,Illinois 3,Arthur Jones,FALSE
2018,Illinois 3,Dan Lipinski,TRUE
2018,Illinois 4,"JesÃºs ""Chuy"" GarcÃ­a",FALSE
2018,Illinois 4,Mark Lorch,FALSE
2018,Illinois 5,Tom Hanson,FALSE
2018,Illinois 5,Mike Quigley,TRUE
2018,Illinois 6,Sean Casten,FALSE
2018,Illinois 6,Peter Roskam,TRUE
2018,Illinois 7,Craig Cameron,FALSE
2018,Illinois 7,Danny Davis,TRUE
2018,Illinois 8,JD Diganvker,FALSE
2018,Illinois 8,Raja Krishnamoorthi,TRUE
2018,Illinois 9,John Elleson,FALSE
2018,Illinois 9,Jan Schakowsky,TRUE
2018,Illinois 10,Douglas Bennett,FALSE
2018,Illinois 10,Brad Schneider,TRUE
2018,Illinois 11,Bill Foster,TRUE
2018,Illinois 11,Nick Stella,FALSE
2018,Illinois 12,Randall Auxier,FALSE
2018,Illinois 12,Mike Bost,TRUE
2018,Illinois 12,Brendan Kelly,FALSE
2018,Illinois 13,Rodney Davis,TRUE
2018,Illinois 13,Betsy Dirksen Londrigan,FALSE
2018,Illinois 14,Randy Hultgren,TRUE
2018,Illinois 14,Lauren Underwood,FALSE
2018,Illinois 15,Kevin Gaither,FALSE
2018,Illinois 15,John Shimkus,TRUE
2018,Illinois 16,Sara Dady,FALSE
2018,Illinois 16,Adam Kinzinger,TRUE
2018,Illinois 17,Cheri Bustos,TRUE
2018,Illinois 17,Bill Fawell,FALSE
2018,Illinois 18,Darin LaHood,TRUE
2018,Illinois 18,Junius Rodriguez,FALSE
2018,Indiana 1,Mark Leyva,FALSE
2018,Indiana 1,Pete Visclosky,TRUE
2018,Indiana 2,Mel Hall,FALSE
2018,Indiana 2,Jackie Walorski,TRUE
2018,Indiana 3,Jim Banks,TRUE
2018,Indiana 3,Courtney Tritch,FALSE
2018,Indiana 4,Jim Baird,FALSE
2018,Indiana 4,Tobi Beck,FALSE
2018,Indiana 5,Susan Brooks,TRUE
2018,Indiana 5,Dee Thornton,FALSE
2018,Indiana 6,Jeannine Lake,FALSE
2018,Indiana 6,Greg Pence,FALSE
2018,Indiana 7,AndrÃ© Carson,TRUE
2018,Indiana 7,"Wayne ""Gunny"" Harmon",FALSE
2018,Indiana 8,Larry Bucshon,TRUE
2018,Indiana 8,William Tanoos,FALSE
2018,Indiana 9,Trey Hollingsworth,TRUE
2018,Indiana 9,Liz Watson,FALSE
2018,Iowa 1,Rod Blum,TRUE
2018,Iowa 1,Abby Finkenauer,FALSE
2018,Iowa 1,Henry Gaff,FALSE
2018,Iowa 2,Daniel Clark,FALSE
2018,Iowa 2,Dave Loebsack,TRUE
2018,Iowa 2,Christopher Peters,FALSE
2018,Iowa 3,Cindy Axne,FALSE
2018,Iowa 3,"Mark G. Elworth, Jr.",FALSE
2018,Iowa 3,Bryan Jack Holder,FALSE
2018,Iowa 3,Paul Knupp,FALSE
2018,Iowa 3,David Young,TRUE
2018,Iowa 4,Charles Aldrich,FALSE
2018,Iowa 4,Steve King,TRUE
2018,Iowa 4,J.D. Scholten,FALSE
2018,Kansas 1,Alan LaPolice,FALSE
2018,Kansas 1,Roger Marshall,TRUE
2018,Kansas 2,Paul Davis,FALSE
2018,Kansas 2,Kelly Standley,FALSE
2018,Kansas 2,Steve Watkins,FALSE
2018,Kansas 3,Chris Clemmons,FALSE
2018,Kansas 3,Sharice Davids,FALSE
2018,Kansas 3,Kevin Yoder,TRUE
2018,Kansas 4,Ron Estes,TRUE
2018,Kansas 4,James Thompson,FALSE
2018,Kentucky 1,James Comer,TRUE
2018,Kentucky 1,Paul Walker,FALSE
2018,Kentucky 2,Brett Guthrie,TRUE
2018,Kentucky 2,Hank Linderman,FALSE
2018,Kentucky 3,Vickie Glisson,FALSE
2018,Kentucky 3,John Yarmuth,TRUE
2018,Kentucky 4,David Goodwin,FALSE
2018,Kentucky 4,Seth Hall,FALSE
2018,Kentucky 4,Thomas Massie,TRUE
2018,Kentucky 5,Hal Rogers,TRUE
2018,Kentucky 5,Kenneth Stepp,FALSE
2018,Kentucky 6,Andy Barr,TRUE
2018,Kentucky 6,Frank Harris,FALSE
2018,Kentucky 6,Amy McGrath,FALSE
2018,Louisiana 1,Lee Ann Dugas,FALSE
2018,Louisiana 1,Jim Francis,FALSE
2018,Louisiana 1,"Frederick ""Ferd"" Jones",FALSE
2018,Louisiana 1,Howard Kearney,FALSE
2018,Louisiana 1,Tammy Savoie,FALSE
2018,Louisiana 1,Steve Scalise,TRUE
2018,Louisiana 2,Cedric Richmond,TRUE
2018,Louisiana 3,Rob Anderson,FALSE
2018,Louisiana 3,Aaron Andrus,FALSE
2018,Louisiana 3,Josh Guillory,FALSE
2018,Louisiana 3,Clay Higgins,TRUE
2018,Louisiana 3,Mimi Methvin,FALSE
2018,Louisiana 3,Larry Rader,FALSE
2018,Louisiana 3,Verone Thomas,FALSE
2018,Louisiana 4,Mark David Halverson,FALSE
2018,Louisiana 4,Mike Johnson,TRUE
2018,Louisiana 4,Ryan Trundle,FALSE
2018,Louisiana 5,Ralph Abraham,TRUE
2018,Louisiana 5,Billy Burkette,FALSE
2018,Louisiana 5,Jessee Carlton Fleenor,FALSE
2018,Louisiana 5,Kyle Randol,FALSE
2018,Louisiana 6,Justin DeWitt,FALSE
2018,Louisiana 6,Garret Graves,TRUE
2018,Louisiana 6,Andie Saizan,FALSE
2018,Maine 1,Marty Grohman,FALSE
2018,Maine 1,Mark Holbrook,FALSE
2018,Maine 1,Chellie Pingree,TRUE
2018,Maine 2,Tiffany Bond,FALSE
2018,Maine 2,Jared Golden,FALSE
2018,Maine 2,Will Hoar,FALSE
2018,Maine 2,Bruce Poliquin,TRUE
2018,Maryland 1,Jesse Colvin,FALSE
2018,Maryland 1,Andy Harris,TRUE
2018,Maryland 1,Jenica Martin,FALSE
2018,Maryland 2,Liz Matory,FALSE
2018,Maryland 2,Dutch Ruppersberger,TRUE
2018,Maryland 2,Guy Mimoun,FALSE
2018,Maryland 3,Charles Anthony,FALSE
2018,Maryland 3,David Lashar,FALSE
2018,Maryland 3,John Sarbanes,TRUE
2018,Maryland 4,David Bishop,FALSE
2018,Maryland 4,Anthony Brown,TRUE
2018,Maryland 4,George McDermott,FALSE
2018,Maryland 5,William Devine III,FALSE
2018,Maryland 5,Steny Hoyer,TRUE
2018,Maryland 5,Jacob Pulcher,FALSE
2018,Maryland 5,Pat Elder,FALSE
2018,Maryland 6,Ted Athey,FALSE
2018,Maryland 6,Kevin Caldwell,FALSE
2018,Maryland 6,George Gluck,FALSE
2018,Maryland 6,Amie Hoeber,FALSE
2018,Maryland 6,David Trone,FALSE
2018,Maryland 7,Elijah Cummings,TRUE
2018,Maryland 7,Richmond Davis,FALSE
2018,Maryland 7,Swami Swaminathan,FALSE
2018,Maryland 8,Jamie Raskin,TRUE
2018,Maryland 8,John Walsh,FALSE
2018,Maryland 8,Jasen Wunder,FALSE
2018,Massachusetts 1,Richard Neal,TRUE
2018,Massachusetts 2,Paul Grady,FALSE
2018,Massachusetts 2,Tracy Lovvorn,FALSE
2018,Massachusetts 2,Jim McGovern,TRUE
2018,Massachusetts 3,Rick Green,FALSE
2018,Massachusetts 3,Lori Trahan,FALSE
2018,Massachusetts 4,Joe Kennedy III,TRUE
2018,Massachusetts 5,Katherine Clark,TRUE
2018,Massachusetts 5,John Hugo,FALSE
2018,Massachusetts 6,Seth Moulton,TRUE
2018,Massachusetts 6,Joseph Schneider,FALSE
2018,Massachusetts 7,Ayanna Pressley,FALSE
2018,Massachusetts 8,Stephen Lynch,TRUE
2018,Massachusetts 9,Bill Keating,TRUE
2018,Massachusetts 9,Peter Tedeschi,FALSE
2018,Michigan 1,Jack Bergman,TRUE
2018,Michigan 1,Matt Morgan,FALSE
2018,Michigan 2,Rob Davidson,FALSE
2018,Michigan 2,Bill Huizenga,TRUE
2018,Michigan 3,Cathy Albro,FALSE
2018,Michigan 3,Justin Amash,TRUE
2018,Michigan 3,Douglas Smith,FALSE
2018,Michigan 4,Jerry Hilliard,FALSE
2018,Michigan 4,John Moolenaar,TRUE
2018,Michigan 5,Dan Kildee,TRUE
2018,Michigan 5,Travis Wines,FALSE
2018,Michigan 6,Matt Longjohn,FALSE
2018,Michigan 6,Fred Upton,TRUE
2018,Michigan 7,Gretchen Driskell,FALSE
2018,Michigan 7,Tim Walberg,TRUE
2018,Michigan 8,Mike Bishop,TRUE
2018,Michigan 8,Brian Ellison,FALSE
2018,Michigan 8,Elissa Slotkin,FALSE
2018,Michigan 9,Andy Levin,FALSE
2018,Michigan 9,John McDermott,FALSE
2018,Michigan 9,Candius Stearns,FALSE
2018,Michigan 10,Kimberly Bizon,FALSE
2018,Michigan 10,Harley Mikkelson,FALSE
2018,Michigan 10,Paul Mitchell,TRUE
2018,Michigan 10,Jeremy Peruski,FALSE
2018,Michigan 11,Lena Epstein,FALSE
2018,Michigan 11,Cooper Nye,FALSE
2018,Michigan 11,Leonard Schwartz,FALSE
2018,Michigan 11,Haley Stevens,FALSE
2018,Michigan 12,Debbie Dingell,TRUE
2018,Michigan 12,Jeff Jones,FALSE
2018,Michigan 12,Steve Young,FALSE
2018,Michigan 13,Rashida Tlaib,FALSE
2018,Michigan 14,Marc Herschfus,FALSE
2018,Michigan 14,Brenda Lawrence,TRUE
2018,Minnesota 1,Dan Feehan,FALSE
2018,Minnesota 1,Jim Hagedorn,FALSE
2018,Minnesota 2,Angie Craig,FALSE
2018,Minnesota 2,Jason Lewis,TRUE
2018,Minnesota 3,Erik Paulsen,TRUE
2018,Minnesota 3,Dean Phillips,FALSE
2018,Minnesota 4,Betty McCollum,TRUE
2018,Minnesota 4,Susan Pendergast Sindt,FALSE
2018,Minnesota 4,Greg Ryan,FALSE
2018,Minnesota 5,Ilhan Omar,FALSE
2018,Minnesota 5,Jennifer Zielinski,FALSE
2018,Minnesota 6,Tom Emmer,TRUE
2018,Minnesota 6,Ian Todd,FALSE
2018,Minnesota 7,Dave Hughes,FALSE
2018,Minnesota 7,Collin Peterson,TRUE
2018,Minnesota 8,Joe Radinovich,FALSE
2018,Minnesota 8,"Ray ""Skip"" Sandman",FALSE
2018,Minnesota 8,Pete Stauber,FALSE
2018,Mississippi 1,Trent Kelly,TRUE
2018,Mississippi 1,Randy Wadkins,FALSE
2018,Mississippi 2,Bennie Thompson,TRUE
2018,Mississippi 3,Michael Evans,FALSE
2018,Mississippi 3,Michael Guest,FALSE
2018,Mississippi 3,Matthew Holland,FALSE
2018,Mississippi 4,Jeramey Anderson,FALSE
2018,Mississippi 4,Steven Palazzo,TRUE
2018,Missouri 1,Lacy Clay,TRUE
2018,Missouri 1,Robb Cunningham,FALSE
2018,Missouri 1,Robert Vroman,FALSE
2018,Missouri 2,David Justus Arnold,FALSE
2018,Missouri 2,"Larry A. ""Tony"" Kirk",FALSE
2018,Missouri 2,Cort VanOstran,FALSE
2018,Missouri 2,Ann Wagner,TRUE
2018,Missouri 3,Katy Geppert,FALSE
2018,Missouri 3,Blaine Luetkemeyer,TRUE
2018,Missouri 3,Donald Stolle,FALSE
2018,Missouri 4,Mark Bliss,FALSE
2018,Missouri 4,Vicky Hartzler,TRUE
2018,Missouri 4,Renee Hoagenson,FALSE
2018,Missouri 5,Emanuel Cleaver,TRUE
2018,Missouri 5,Maurice Copeland,FALSE
2018,Missouri 5,E. C. Fredland,FALSE
2018,Missouri 5,Alexander Howell,FALSE
2018,Missouri 5,Jacob Turk,FALSE
2018,Missouri 6,Sam Graves,TRUE
2018,Missouri 6,Dan Hogan,FALSE
2018,Missouri 6,Henry Martin,FALSE
2018,Missouri 7,Ben Brixey,FALSE
2018,Missouri 7,Billy Long,TRUE
2018,Missouri 7,Jamie Schoolcraft,FALSE
2018,Missouri 8,Kathy Ellis,FALSE
2018,Missouri 8,Jonathan Shell,FALSE
2018,Missouri 8,Jason Smith,TRUE
2018,Montana at-large,Doug Campbell,FALSE
2018,Montana at-large,Greg Gianforte,TRUE
2018,Montana at-large,Elinor Swanson,FALSE
2018,Montana at-large,Kathleen Williams,FALSE
2018,Nebraska 1,Jeff Fortenberry,TRUE
2018,Nebraska 1,Jessica McClure,FALSE
2018,Nebraska 2,Don Bacon,TRUE
2018,Nebraska 2,Kara Eastman,FALSE
2018,Nebraska 3,Adrian Smith,TRUE
2018,Nebraska 3,Paul Theobald,FALSE
2018,Nevada 1,Joyce Bentley,FALSE
2018,Nevada 1,Dan Garfield,FALSE
2018,Nevada 1,Robert Strawder,FALSE
2018,Nevada 1,Dina Titus,TRUE
2018,Nevada 2,Mark Amodei,TRUE
2018,Nevada 2,Clint Koble,FALSE
2018,Nevada 3,Susie Lee,FALSE
2018,Nevada 3,Danny Tarkanian,FALSE
2018,Nevada 4,Cresent Hardy,FALSE
2018,Nevada 4,Steven Horsford,FALSE
2018,New Hampshire 1,Dan Belforti,FALSE
2018,New Hampshire 1,Eddie Edwards,FALSE
2018,New Hampshire 1,Chris Pappas,FALSE
2018,New Hampshire 2,Ann McLane Kuster,TRUE
2018,New Hampshire 2,Steve Negron,FALSE
2018,New Hampshire 2,Justin O'Donnell,FALSE
2018,New Jersey 1,Paul Dilks,FALSE
2018,New Jersey 1,Donald Norcross,TRUE
2018,New Jersey 2,Seth Grossman,FALSE
2018,New Jersey 2,Jeff Van Drew,FALSE
2018,New Jersey 3,Andy Kim,FALSE
2018,New Jersey 3,Tom MacArthur,TRUE
2018,New Jersey 4,Chris Smith,TRUE
2018,New Jersey 4,Edward Stackhouse,FALSE
2018,New Jersey 4,Josh Welle,FALSE
2018,New Jersey 5,Josh Gottheimer,TRUE
2018,New Jersey 5,John McCann,FALSE
2018,New Jersey 6,Frank Pallone,TRUE
2018,New Jersey 6,Rich Pezzullo,FALSE
2018,New Jersey 7,Leonard Lance,TRUE
2018,New Jersey 7,Tom Malinowski,FALSE
2018,New Jersey 8,John Muniz,FALSE
2018,New Jersey 8,Albio Sires,TRUE
2018,New Jersey 9,Eric Fisher,FALSE
2018,New Jersey 9,Bill Pascrell,TRUE
2018,New Jersey 10,Agha Khan,FALSE
2018,New Jersey 10,Donald Payne,TRUE
2018,New Jersey 11,Mikie Sherrill,FALSE
2018,New Jersey 11,Jay Webber,FALSE
2018,New Jersey 12,Daryl Kipnis,FALSE
2018,New Jersey 12,Bonnie Watson Coleman,TRUE
2018,New Mexico 1,Janice Arnold-Jones,FALSE
2018,New Mexico 1,Deb Haaland,FALSE
2018,New Mexico 1,Lloyd Princeton,FALSE
2018,New Mexico 2,Yvette Herrell,FALSE
2018,New Mexico 2,Xochitl Torres Small,FALSE
2018,New Mexico 3,Ben Ray LujÃ¡n,TRUE
2018,New Mexico 3,Christopher Manning,FALSE
2018,New Mexico 3,Jerald McFall,FALSE
2018,New York 1,Perry Gershon,FALSE
2018,New York 1,Lee Zeldin,TRUE
2018,New York 2,Liuba Grechen Shirley,FALSE
2018,New York 2,Peter King,TRUE
2018,New York 3,Dan DeBono,FALSE
2018,New York 3,Tom Suozzi,TRUE
2018,New York 4,Ameer Benno,FALSE
2018,New York 4,Kathleen Rice,TRUE
